id	CAS	smiles	status	exp
246	7786-34-7	O=C(OC)C=C(OP(=O)(OC)OC)C	Test	0
248	78587-05-0	O=C(NC1CCCCC1)N3C(=O)SC(c2ccc(cc2)Cl)C3C	Training	0
249	79241-46-6	O=C(OCCCC)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C	Training	0
250	79538-32-2	O=C(OCc1c(F)c(F)c(c(F)c1(F))C)C2C(C=C(C(F)(F)F)Cl)C2(C)(C)	Training	0
251	79622-59-6	O=[N+]([O-])c2cc(c(c(c2(Nc1ncc(cc1Cl)C(F)(F)F))[N+](=O)[O-])Cl)C(F)(F)F	Training	1
252	79983-71-4	OC(c1ccc(cc1Cl)Cl)(Cn2ncnc2)CCCC	Test	0
253	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	0
254	8018-01-7	N(C(=S)S)CCNC(=S)S	Training	1
255	81334-34-1	O=C(O)c2cccnc2(C1=NC(C(=O)N1)(C)C(C)C)	Training	0
256	81335-37-7	O=C(O)c2cc3ccccc3(nc2(C1=NC(C(=O)N1)(C)C(C)C))	Training	0
257	81335-77-5	O=C(O)c2cc(cnc2(C1=NC(C(=O)N1)(C)C(C)C))CC	Training	0
258	81406-37-3	O=C(OC(C)CCCCCC)COc1nc(F)c(c(N)c1Cl)Cl	Training	0
259	81777-89-1	O=C1N(OCC1(C)C)Cc2ccccc2Cl	Training	0
260	82-68-8	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	0
261	82558-50-7	O=C(Nc1onc(c1)C(C)(CC)CC)c2c(OC)cccc2(OC)	Training	0
262	82657-04-3	O=C(OCc2cccc(c1ccccc1)c2C)C3C(C=C(C(F)(F)F)Cl)C3(C)(C)	Training	0
263	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Test	1
264	834-12-8	n1c(nc(nc1NC(C)C)SC)NCC	Training	0
265	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Test	0
266	84087-01-4	O=C(O)c1c2ncc(cc2(ccc1Cl))Cl	Training	0
267	85509-19-9	Fc1ccc(cc1)[Si](c2ccc(F)cc2)(C)Cn3ncnc3	Test	0
268	86-50-0	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	1
270	87546-18-7	O=C(OCCCCC)COc1cc(c(F)cc1Cl)N2C(=O)C3=C(C2(=O))CCCC3	Test	1
271	87674-68-8	O=C(N(c1c(csc1C)C)C(C)COC)CCl	Test	0
272	87818-31-3	O(Cc1ccccc1C)C3CC2(OC3(C)(CC2))C(C)C	Training	0
273	87820-88-0	O=C2C(=C(O)CC(c1c(cc(cc1C)C)C)C2)C(=NOCC)CC	Test	0
274	88671-89-0	N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	Training	0
275	90-43-7	Oc1ccccc1c2ccccc2	Training	0
276	94-74-6	O=C(O)COc1ccc(cc1C)Cl	Test	0
277	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	0
278	94-82-6	O=C(O)CCCOc1ccc(cc1Cl)Cl	Test	0
279	94361-06-5	OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	Training	0
280	950-37-8	O=C1N(N=C(OC)S1)CSP(OC)(OC)=S	Training	1
281	95737-68-1	n1ccccc1OC(C)COc3ccc(Oc2ccccc2)cc3	Training	0
282	96-45-7	N1C(NCC1)=S	Test	0
283	96182-53-5	n1cc(OP(OCC)(OC(C)C)=S)cnc1C(C)(C)C	Test	0
284	962-58-3	O=P(Oc1nc(nc(c1)C)C(C)C)(OCC)OCC	Training	0
285	96489-71-3	O=C1C(=C(C=NN1C(C)(C)C)SCc2ccc(cc2)C(C)(C)C)Cl	Training	0
