Id	CAS	SMILES	Set	Log SF
212	99-09-2	O=[N+]([O-])c1cccc(N)c1	Training	-1.68
213	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Test	-1.7
214	7496-02-8	O=[N+]([O-])c2cc3c4ccccc4(ccc3(c1ccccc12))	Training	2.08
215	1836-75-5	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)Cl)cc2	Training	-1.42
216	607-57-8	O=[N+]([O-])c2ccc3c1ccccc1Cc3(c2)	Training	-0.92
217	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Test	0.11
218	55-63-0	O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-]	Training	-1.77
219	5522-43-0	O=[N+]([O-])c4ccc1ccc2cccc3ccc4(c1c23)	Training	0.08
220	57835-92-4	O=[N+]([O-])c4cc3cccc2ccc1cccc4(c1c23)	Training	0.08
221	1116-54-7	O=NN(CCO)CCO	Training	0.45
222	55-18-5	O=NN(CC)CC	Training	2.18
223	62-75-9	O=NN(C)C	Training	1.71
224	924-16-3	O=NN(CCCC)CCCC	Test	0.73
225	621-64-7	O=NN(CCC)CCC	Training	0.85
226	86-30-6	O=NN(c1ccccc1)c2ccccc2	Test	-2.31
227	156-10-5	O=Nc1ccc(cc1)Nc2ccccc2	Test	-1.66
228	10595-95-6	O=NN(C)CC	Training	1.34
229	59-89-2	O=NN1CCOCC1	Test	0.83
230	759-73-9	O=NN(C(=O)N)CC	Training	1.43
231	684-93-5	O=NN(C(=O)N)C	Training	2.08
232	615-53-2	O=NN(C(=O)OCC)C	Training	2.04
233	16543-55-8	O=NN2CCCC2(c1cnccc1)	Training	0.15
234	100-75-4	O=NN1CCCCC1	Training	0.97
235	930-55-2	O=NN1CCCC1	Test	0.32
236	88-72-2	O=[N+]([O-])c1ccccc1C	Training	-0.66
237	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Test	-1.8
238	3268-87-9	O1c3c(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	1.59
239	39001-02-0	o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	1.59
240	55738-54-0	O=[N+]([O-])c2oc(C=Cc1nnc(N=CN(C)C)o1)cc2	Test	-0.36
241	36088-22-9	O1c3cccc(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	Training	5.11
242	57117-41-6	o2c1cc(c(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl	Training	3.59
243	57117-31-4	o2c1cc(c(cc1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl	Test	4.59
244	32598-14-4	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	Test	0.59
245	74472-37-0	c1cc(ccc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	0.59
246	31508-00-6	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	Training	0.59
247	65510-44-3	c1cc(cc(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	Test	0.59
249	40321-76-4	O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl	Test	5.11
250	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	-1.05
251	82-68-8	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	-0.59
252	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	-0.4
253	78-11-5	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]	Training	-2.4
254	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	-2.66
255	94-78-0	N(=Nc1ccc(nc1(N))N)c2ccccc2	Training	-0.77
256	3546-10-9	O=C(OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCCC(C)C))C3(C)CC4)Cc5ccc(cc5)N(CCCl)CCCl	Training	2.18
257	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	-0.34
258	59-96-1	O(c1ccccc1)CC(N(Cc2ccccc2)CCCl)C	Test	0.49
259	95-54-5	Nc1ccccc1(N)	Training	-1.33
260	90-43-7	Oc1ccccc1c2ccccc2	Training	-2.71
261	59536-65-1	c1cc(c(c(c1c2cc(c(c(c2)Br)Br)Br)Br)Br)Br	Training	1.48
262	3564-09-8	O=C2C(=NNc1cc(c(cc1C)C)C)c3ccc(cc3(C=C2S(=O)(=O)O))S(=O)(=O)O	Test	-1.8
263	3761-53-3	O=C2C(=NNc1ccc(cc1C)C)c3cc(ccc3(C=C2S(=O)(=O)O))S(=O)(=O)O	Test	-2.35
264	671-16-9	O=C(NC(C)C)c1ccc(cc1)CNNC	Training	1.15
265	67747-09-5	O=C(n1cncc1)N(CCOc2c(cc(cc2Cl)Cl)Cl)CCC	Test	-0.82
266	1120-71-4	O=S1(=O)(OCCC1)	Test	0.38
267	57-57-8	O=C1OCC1	Training	1.15
268	75-56-9	O1CC1C	Training	-0.62
269	51-52-5	O=C1C=C(NC(N1)=S)CCC	Training	0
270	26148-68-5	n1c(N)ccc3c1[nH]c2ccccc23	Test	-0.4
271	91-22-5	n1cccc2ccccc12	Test	0.48
272	50-55-5	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	1.04
273	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	-0.66
274	122-34-9	n1c(nc(nc1NCC)Cl)NCC	Training	-0.92
275	148-18-5	C(N(CC)CC)(=S)S	Test	-0.57
276	10048-13-2	O=C1c5c(O)cccc5(Oc3c1c(OC)cc2OC4OC=CC4(c23))	Test	-0.66
277	961-11-5	O=P(OC(=CCl)c1cc(c(cc1Cl)Cl)Cl)(OC)OC	Training	-1.62
278	18883-66-4	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))C	Test	2.04
279	96-09-3	O1CC1c2ccccc2	Training	-0.8
280	95-06-7	C=C(CSC(N(CC)CC)=S)Cl	Training	-0.72
281	140-57-8	O=S(OCCCl)OC(C)COc1ccc(cc1)C(C)(C)C	Training	-1.6
282	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	5.11
283	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Test	4.11
284	32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Training	1.11
