35	35	14	2	0
-0.15409	-0.53172	0.30910	-1.31603	-0.56871	-0.25143	-0.44801	0.84053	2.85861	-0.13914	-0.17835	2.14779	0.85763	0.14237	32	32	32	32	32
-0.07248	-0.52562	0.37785	-1.12354	-0.44946	-0.07289	-0.36202	0.93329	2.68592	-0.13914	-0.17835	2.01137	0.72016	0.27984	32	32	32	32	32
0.02723	-0.40134	0.44781	-0.84796	-0.20324	0.13606	-0.17939	0.76112	2.95963	-0.13914	-0.17835	2.22761	0.53831	0.46169	32	32	32	32	32
0.18110	-0.27720	0.46728	-0.63840	-0.07038	0.11499	-0.08001	0.64730	2.99782	-0.13914	-0.17835	2.25778	0.50017	0.49983	32	32	32	32	32
0.27822	-0.06315	0.39458	-0.26052	0.10565	0.09634	0.06930	0.67303	3.00834	-0.13914	-0.17835	2.26609	0.64510	0.35490	32	32	32	32	32
0.32296	0.04768	0.11137	0.03136	0.14990	0.01079	0.10761	0.64883	2.59590	-0.13914	-0.17835	1.94025	0.97150	0.02850	32	32	32	32	32
0.40626	-0.05016	0.09558	0.05438	0.25909	-0.01284	-0.01671	0.80079	2.54317	-0.13914	-0.17835	1.90229	0.99895	0.00105	65	32	32	32	32
0.34875	0.07228	0.01639	0.11004	0.15061	-0.03496	0.07771	0.68967	2.36622	-0.13914	-0.17835	1.91806	0.99165	0.00835	32	32	32	32	32
0.26983	0.10409	-0.19541	-0.21312	0.02218	-0.58739	-0.25367	0.77086	0.55910	-0.13914	-0.17835	2.31326	0.89383	0.10617	32	32	32	32	32
0.29447	0.27703	-0.50338	-0.07683	0.04070	-0.84208	-0.40707	0.34785	-0.33963	-0.13914	-0.17835	2.72991	0.95730	0.04270	65	32	32	32	32
0.17963	0.13520	-0.37991	-0.29588	-0.01955	-0.88533	-0.35063	0.46688	-0.36118	-0.13894	-0.17835	3.34874	0.95165	0.04835	32	32	32	32	32
0.12675	0.01262	-0.22617	-0.49396	-0.02995	-0.81699	-0.28262	0.77430	-0.36118	-0.13210	-0.17835	3.73527	0.96163	0.03837	65	32	32	32	32
0.13502	-0.02287	-0.14541	-0.51420	-0.01078	-0.73594	-0.26316	0.91337	-0.36118	0.73967	-0.17835	3.35375	0.74775	0.25225	32	32	32	32	32
