ID	CAS	SMILES	STATUS	EXP CLASS
159	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OC23CC4CC(CC(C4)C2)C3)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]5CCCCN5C(=O)[C@@H](C)OC(=O)[C@H](Cc6ccc(OC)cc6)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
160	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)NCC=C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
161	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)NCCC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
162	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)NC23CC4CC(CC(C4)C2)C3)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]5CCCCN5C(=O)[C@@H](C)OC(=O)[C@H](Cc6ccc(OC)cc6)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
163	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)Nc2occc2)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]3CCCCN3C(=O)[C@@H](C)OC(=O)[C@H](Cc4ccc(OC)cc4)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
164	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)NC(c2ccccc2)c3ccccc3)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]4CCCCN4C(=O)[C@@H](C)OC(=O)[C@H](Cc5ccc(OC)cc5)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
165	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)NC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
166	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)N2CCCCC2)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]3CCCCN3C(=O)[C@@H](C)OC(=O)[C@H](Cc4ccc(OC)cc4)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
167	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)N[C@H](COCc2ccccc2)C(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]3CCCCN3C(=O)[C@@H](C)OC(=O)[C@H](Cc4ccc(OC)cc4)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
168	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)N2CCC[C@@H]2COC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]3CCCCN3C(=O)[C@@H](C)OC(=O)[C@H](Cc4ccc(OC)cc4)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
