ID	CAS	SMILES	STATUS	EXP_VALUE
217	N.A.	CC(Cl)Cl	TRAINING	1
218	N.A.	CC(N)C(=O)O	TRAINING	0
219	N.A.	CC(N)C(O)c1ccc(O)c(O)c1	TRAINING	0
220	N.A.	CC(N)C(O)c1cccc(O)c1	TRAINING	0
221	N.A.	CC(N)CCCC(C)(C)O	TRAINING	1
222	N.A.	CC(N)Cc1ccc(O)cc1	TRAINING	0
223	N.A.	CC(N)Cc1ccc2c(c1)OCO2	TRAINING	0
224	N.A.	CC(NCc1ccc(OCc2ccccc2F)cc1)C(N)=O	TRAINING	1
225	N.A.	CC(NN)c1ccccc1	TRAINING	1
226	N.A.	CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1	TRAINING	1
227	N.A.	CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12	TRAINING	1
228	N.A.	CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNS(N)(=O)=O)C3)C(C)C12	TRAINING	1
229	N.A.	CC(O)C1C(=O)N2C(C(=O)O)=C(SCCN=CN)CC12	TRAINING	1
230	N.A.	CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)C(C)C12	TRAINING	0
231	N.A.	CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1	TRAINING	0
232	N.A.	CC(O)CO	TRAINING	0
233	N.A.	CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	TRAINING	0
234	N.A.	CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	TRAINING	1
235	N.A.	CC(OC1OCCN(Cc2nc(=O)n([PH](=O)(=O)O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	TRAINING	1
236	N.A.	CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O	TRAINING	0
237	N.A.	CC(S)C(=O)NCC(=O)O	TRAINING	1
238	N.A.	CC(c1cc2ccccc2s1)N(O)C(N)=O	TRAINING	1
239	N.A.	CC1(C(=O)O)CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC4OC(C(=O)O)C(O)C(O)C4OC4OC(C(=O)O)C(O)C(O)C4O)C(C)(C)C2CCC13C	TRAINING	1
240	N.A.	CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21	TRAINING	0
241	N.A.	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1	TRAINING	0
242	N.A.	CC1(C)CC1C(=O)N=C(CCCCCSCC(N)C(=O)O)C(=O)O	TRAINING	0
243	N.A.	CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21	TRAINING	0
