Id	CAS	SMILES	Set	Log SF
236	95-06-7	C=C(CSC(N(CC)CC)=S)Cl	Test	-0.72
237	140-57-8	O=S(OCCCl)OC(C)COc1ccc(cc1)C(C)(C)C	Training	-1.60
238	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	5.12
239	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	4.12
240	32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Training	1.12
241	70362-50-4	c1cc(ccc1c2cc(c(c(c2)Cl)Cl)Cl)Cl	Training	1.60
242	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	-1.59
243	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	-0.69
244	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	-3.04
245	3570-75-0	O=CNNc1nc(cs1)c2oc(cc2)[N+](=O)O	Test	0.36
246	62-55-5	NC(C)=S	Training	0.77
247	139-65-1	Nc1ccc(cc1)Sc2ccc(N)cc2	Test	1.18
248	62-56-6	NC(N)=S	Training	-1.13
249	95-80-7	Nc1ccc(c(N)c1)C	Training	0.59
250	584-84-9	O=C=Nc1ccc(c(N=C=O)c1)C	Training	-1.41
251	91-08-7	O=C=Nc1cccc(N=C=O)c1C	Training	-1.41
252	95-53-4	Nc1ccccc1C	Training	-0.75
253	8001-35-2	C=C1C(CCl)(CCl)C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	0.05
254	79-00-5	C(C(Cl)Cl)Cl	Training	-1.25
255	79-01-6	C(=C(Cl)Cl)Cl	Training	-1.84
256	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	-1.96
257	126-72-7	O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br	Training	0.36
258	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Training	1.08
259	62450-06-0	n2c(N)c(c3[nH]c1ccccc1c3(c2C))C	Training	1.41
260	62450-07-1	n2c(N)cc3[nH]c1ccccc1c3(c2C)	Training	0.50
261	51-79-6	O=C(OCC)N	Training	0.01
262	593-60-2	C=CBr	Training	-0.95
263	75-01-4	C=CCl	Training	-1.81
