ID	CAS	SMILES	Status	logLOEL
60	591-87-7	O=C(OCC=C)C	Training	0.778
61	2835-39-4	O=C(OCC=C)CC(C)C	Training	1.792
62	87-62-7	Nc1c(cccc1C)C	Training	1.602
63	119-47-1	Oc1c(cc(cc1C(C)(C)C)C)Cc2cc(cc(c2(O))C(C)(C)C)C	Training	1.965
64	100-52-7	O=Cc1ccccc1	Training	2.602
65	1825-21-4	O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C	Training	1.602
66	6533-68-2	O=C(OC1CC3N(C)C(C1)C2OC23)C(c4ccccc4)CO	Training	1.176
67	140-11-4	O=C(OCc1ccccc1)C	Training	2.983
68	100-51-6	OCc1ccccc1	Training	2.602
69	56-93-9	c1ccc(cc1)C[N+](C)(C)C	Training	1.097
70	107-43-7	O=C([O-])C[N+](C)(C)C	Training	2.886
71	14047-09-7	N(=Nc1ccc(c(c1)Cl)Cl)c2ccc(c(c2)Cl)Cl	Training	-1.000
72	134-72-5	OC(c1ccccc1)C(NC)C	Training	0.983
73	75-27-4	C(Cl)(Cl)Br	Training	1.875
74	109-69-3	CCCCCl	Training	2.079
75	110-69-0	ON=CCCC	Training	1.398
76	78-44-4	O=C(OCC(C)(COC(=O)NC(C)C)CCC)N	Training	2.000
77	79-11-8	O=C(O)CCl	Training	1.477
78	108-90-7	c1ccc(cc1)Cl	Training	1.778
79	120-32-1	Oc1ccc(cc1Cc2ccccc2)Cl	Training	1.477
80	76-57-3	OC1C=CC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	Training	1.477
81	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	2.283
82	131-17-9	O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Training	1.699
83	21232-47-3	[O-][N+](=Nc1ccc(c(c1)Cl)Cl)c2ccc(c(c2)Cl)Cl	Training	-1.000
84	211495-85-1	O[Si](O)(C1CCCC1)C2CCCC2	Training	2.301
85	205687-03-2	O=C(OCc1ccc(O)c(OC)c1)CCCCCCC(C)C	Training	3.000
86	868-85-9	O=P(OC)OC	Training	1.398
87	7336-20-1	O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)	Training	2.682
88	71-55-6	CC(Cl)(Cl)Cl	Training	2.886
89	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	1.314
90	109-86-4	OCCOC	Training	1.845
91	51-79-6	O=C(OCC)N	Training	0.903
92	110-00-9	o1cccc1	Training	0.602
93	54-31-9	O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N	Training	1.983
94	1071-83-6	O=C(O)CNCP(=O)(O)O	Training	2.380
95	59820-43-8	O=[N+]([O-])c1ccc(NCCO)c(OCCO)c1	Training	2.585
96	142-83-6	O=CC=CC=CC	Training	1.477
97	123-31-9	Oc1ccc(O)cc1	Training	1.699
98	50-81-7	O=C1OC(C(O)=C1(O))C(O)CO	Training	3.283
99	598-55-0	O=C(OC)N	Training	2.000
100	6317-18-6	N#CSCSC#N	Training	0.301
101	298-59-9	O=C(OC)C(c1ccccc1)C2NCCCC2	Training	0.983
102	135-88-6	c1ccc(cc1)Nc2ccc3ccccc3(c2)	Training	2.585
103	121-69-7	c1ccc(cc1)N(C)C	Training	1.491
104	389-08-2	O=C(O)C1=CN(c2nc(ccc2(C1(=O)))C)CC	Training	2.188
105	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	1.061
106	67-20-9	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	1.665
107	95-51-2	Nc1ccccc1Cl	Training	1.000
108	88-72-2	O=[N+]([O-])c1ccccc1C	Training	1.682
109	106-46-7	c1cc(ccc1Cl)Cl	Training	2.477
