id	CAS	SMILES	Status	Exp value [log(uM)]
123	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Test	0.935
124	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	1.417
125	40487-42-1	O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C	Training	1.629
126	1763-23-1	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	1.517
127	52645-53-1	O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C)	Training	0.478
128	2310-17-0	O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl	Training	0.971
129	4376-20-9	O=C(O)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	-0.247
130	51-03-6	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Training	1.055
131	29232-93-7	n1c(OP(OC)(OC)=S)cc(nc1N(CC)CC)C	Training	1.053
132	23031-36-9	O=C(OC1C(=C(C(=O)C1)CC#C)C)C2C(C=C(C)C)C2(C)(C)	Training	0.196
133	86209-51-0	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(OC(F)F)cc(n2)OC(F)F	Training	0.513
134	67747-09-5	O=C(n1cncc1)N(CCOc2c(cc(cc2Cl)Cl)Cl)CCC	Training	0.65
135	41198-08-7	O=P(Oc1ccc(cc1Cl)Br)(OCC)SCCC	Training	0.939
136	709-98-8	OC(=Nc1ccc(c(c1)Cl)Cl)CC	Training	1.515
137	60207-90-1	n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl	Training	1.426
138	181274-15-7	O=C(OC)c1ccccc1S(=O)(=O)N=C(O)N2N=C(OCCC)N(C2(=O))C	Training	1.19
139	94125-34-5	O=S(=O)(N=C(O)N=C1N=C(N=C(OC)N1)C)c2ccccc2CCC(F)(F)F	Training	1.324
140	123312-89-0	O=C2NN=C(C)CN2(N=Cc1cnccc1)	Test	1.242
141	95737-68-1	n1ccccc1OC(C)COc3ccc(Oc2ccccc2)cc3	Training	1.417
142	124495-18-7	Fc3ccc(Oc2ccnc1cc(cc(c12)Cl)Cl)cc3	Training	0.53
143	82-68-8	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	1.274
144	76578-14-8	O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(nc1))Cl)cc3)C	Test	0.088
145	10453-86-8	O=C(OCc1coc(c1)Cc2ccccc2)C3C(C=C(C)C)C3(C)(C)	Training	0.447
146	79241-46-6	O=C(OCCCC)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C	Training	0.71
147	148477-71-8	O=C1OC3(C(OC(=O)C(C)(C)CC)=C1c2ccc(cc2Cl)Cl)(CCCCC3)	Training	0.236
148	122836-35-5	O=C1N(N=C(N1C(F)F)C)c2cc(NS(=O)(=O)C)c(cc2Cl)Cl	Training	1.53
149	21564-17-0	N#CSCSc2nc1ccccc1s2	Training	-0.365
150	119168-77-3	O=C(NCc1ccc(cc1)C(C)(C)C)c2c(c(nn2C)CC)Cl	Training	-0.495
151	96182-53-5	n1cc(OP(OCC)(OC(C)C)=S)cnc1C(C)(C)C	Training	0.983
152	112281-77-3	FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	Training	1.498
153	7696-12-0	O=C(OCN1C(=O)C2=C(C1(=O))CCCC2)C3C(C=C(C)C)C3(C)(C)	Training	1.014
154	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	1.481
155	153719-23-4	O=[N+]([O-])N=C1N(C)COCN1Cc2cnc(Cl)s2	Test	1.874
156	117718-60-2	O=C(OC)c2c(nc(c(C1=NCCS1)c2CC(C)C)C(F)(F)F)C(F)F	Training	1.514
157	28249-77-6	O=C(N(CC)CC)SCc1ccc(cc1)Cl	Training	1.12
158	59669-26-0	O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C	Training	1.466
159	23564-05-8	O=C(OC)NC(Nc1ccccc1(NC(NC(=O)OC)=S))=S	Training	0.088
160	87820-88-0	O=C2C(=C(O)CC(c1c(cc(cc1C)C)C)C2)C(=NOCC)CC	Training	1.664
161	43121-43-3	O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	1.394
162	55219-65-3	OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Test	1.476
163	2303-17-5	O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl	Training	1.434
164	3380-34-5	Oc2cc(ccc2(Oc1ccc(cc1Cl)Cl))Cl	Test	0.425
165	141517-21-7	O=C(OC)C(=NOC)c1ccccc1CON=C(c2cccc(c2)C(F)(F)F)C	Training	-0.574
166	68694-11-1	FC(F)(F)c2cc(ccc2(N=C(n1cncc1)COCCC))Cl	Training	0.209
167	1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Training	-0.201
168	131983-72-7	OC2(C(=Cc1ccc(cc1)Cl)CCC2(C)(C))(Cn3ncnc3)	Training	1.115
169	50471-44-8	O=C1OC(C=C)(C(=O)N1c2cc(cc(c2)Cl)Cl)C	Training	1.575
170	156052-68-5	O=C(NC(C(=O)CCl)(C)CC)c1cc(c(c(c1)Cl)C)Cl	Training	0.71
