No	CAS	SMILES	Set	EXP (Log L/Kg)	yc_weighted (pred pesata)
281	149-30-4	n2c1ccccc1sc2S	Training	2.25	2.159
282	150-13-0	O=C(O)c1ccc(N)cc1	Training	2.5	1.472
283	150-19-6	Oc1cccc(OC)c1	Training	1.5	2.048
284	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	1.95	1.699
285	151-56-4	N1CC1	Training	0.78	0.417
286	154-23-4	Oc3cc(O)c2c(OC(c1ccc(O)c(O)c1)C(O)C2)c3	Training	2.03	2.381
287	189-55-9	c1ccc3c(c1)cc4ccc5cc2ccccc2c6ccc3c4c56	Training	5.71	5.15
288	191-24-2	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	Training	4.61	5.716
289	193-39-5	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	Training	6.2	4.823
290	194-59-2	c1ccc5c(c1)ccc4[nH]c3ccc2ccccc2c3c45	Training	6.03	5.726
291	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Training	4.8	4.771
292	207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	Training	4.34	6.03
293	208-96-8	c1cc2cccc3C=Cc(c1)c23	Training	3.75	3.689
294	225-11-6	n1c4ccccc4(cc3c1ccc2ccccc23)	Training	4.39	5.184
295	239-64-5	c1ccc3c(c1)ccc4c5ccc2ccccc2c5([nH]c34)	Training	6.02	5.8
296	260-94-6	n1c3ccccc3(cc2ccccc12)	Training	4.18	4.296
297	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	3	2.93
298	298-02-2	O(CC)P(OCC)(=S)SCSCC	Training	2.7	2.759
299	298-03-3	O(CC)P(OCC)(OCCSCC)=S	Training	2.59	2.302
300	298-04-4	O(CC)P(OCC)(=S)SCCSCC	Training	3.22	2.661
301	300-76-5	O=P(OC)(OC)OC(C(Cl)(Cl)Br)Br	Training	2.26	1.508
302	301-12-2	O=S(CC)CCSP(=O)(OC)OC	Training	1	1.45
303	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	4.69	4.814
304	314-40-9	O=C1N=C(C)C(C(=O)N1C(C)CC)Br	Training	1.6	1.87
305	314-42-1	O=C1N=C(C)C(C(=O)N1C(C)C)Br	Training	2.11	1.724
306	315-18-4	O=C(Oc1cc(c(c(c1)C)N(C)C)C)NC	Training	2.48	2.087
307	327-98-0	O(c1cc(c(cc1Cl)Cl)Cl)P(OCC)(CC)=S	Training	2.6	4.301
308	330-39-2	O=C(Nc1cccc(F)c1)N(C)C	Training	1.73	1.586
309	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	2.4	1.884
310	330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	2.7	2.282
311	332-33-2	O=C(Nc1ccc(F)cc1)N(C)C	Training	1.43	1.663
312	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	2.75	2.394
313	351-28-0	O=C(Nc1cccc(F)c1)C	Training	1.57	1.548
314	351-36-0	O=C(Nc1cccc(c1)C(F)(F)F)C	Training	1.75	1.854
315	351-83-7	O=C(Nc1ccc(F)cc1)C	Training	1.48	1.572
316	366-18-7	n1ccccc1c2ncccc2	Training	1.6	1.622
317	470-90-6	O=P(OC(=CCl)c1ccc(cc1Cl)Cl)(OCC)OCC	Training	2.47	2.877
318	492-80-8	N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	3.31	2.658
319	495-48-7	[O-][N+](=Nc1ccccc1)c2ccccc2	Training	3.5	3.098
320	510-15-6	O=C(OCC)C(O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	3.3	2.399
321	526-73-8	c1cc(c(c(c1)C)C)C	Training	2.8	2.78
322	527-20-8	Nc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	4.62	3.775
323	528-45-0	O=C(O)c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	1.53	2.148
324	533-17-5	O=C(Nc1ccccc1Cl)C	Training	1.58	1.74
325	533-74-4	C1(N(C)CN(C)CS1)(=S)	Training	1	2.427
326	534-52-1	O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-]	Training	2.41	2.535
327	537-92-8	O=C(Nc1cccc(c1)C)C	Training	1.45	1.701
328	539-82-2	O=C(OCC)CCCC	Training	1.97	1.507
329	540-49-8	C(=CBr)Br	Training	1.65	1.957
330	541-73-1	c1cc(cc(c1)Cl)Cl	Training	2.58	2.693
331	542-75-6	C(=CCl)CCl	Training	1.665	1.804
