No.	CAS	SMILES	Set	Exp KOA	Pred (weighted)
199	36653-82-4	OCCCCCCCCCCCCCCCC	Training	9.9	9.5303
200	37680-65-2	c1ccc(c(c1)c2cc(ccc2Cl)Cl)Cl	Training	7.6	8.0570
201	37680-73-2	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	Training	9.06	9.2436
202	38379-99-6	c1cc(c(cc1Cl)c2c(ccc(c2Cl)Cl)Cl)Cl	Training	8.79	9.2436
203	38380-03-9	c1cc(c(cc1c2c(ccc(c2Cl)Cl)Cl)Cl)Cl	Training	9.06	9.1264
204	38380-04-0	c2cc(c(c(c1cc(c(cc1Cl)Cl)Cl)c2Cl)Cl)Cl	Training	9.27	9.9109
205	38444-77-8	c2cc(c(c1ccc(cc1)Cl)c(c2)Cl)Cl	Training	7.72	8.0850
206	39001-02-0	o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	11.9	11.5455
207	39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	Training	8.97	8.7226
208	39227-61-7	O1c3ccc(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	Training	10.67	9.1540
209	40321-76-4	O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl	Training	10.57	9.7491
210	41318-75-6	O(c1ccc(cc1)Br)c2ccc(cc2Br)Br	Training	9.5	9.4772
211	41464-39-5	c2cc(c1cc(ccc1Cl)Cl)c(c(c2)Cl)Cl	Training	8.36	8.7718
212	41464-40-8	c1cc(cc(c1c2cc(ccc2Cl)Cl)Cl)Cl	Training	8.39	8.5340
213	41464-41-9	c2cc(c(c1cc(ccc1Cl)Cl)c(c2)Cl)Cl	Training	8.45	8.5340
214	50402-52-3	c1ccc2c(c1)cc(c(c2Cl)Cl)Cl	Training	7.66	7.4123
215	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	10.02	9.3393
216	52663-58-8	c1cc(ccc1c2c(ccc(c2Cl)Cl)Cl)Cl	Training	8.41	8.6554
