ID	CAS	MDL SMILES Structure	Status	Log BCF exp	LOO Knn Prediction
227	115-77-5	OCC(CO)(CO)CO	Training	-0.037	0.0362779096
228	115-96-8	O=P(OCCCl)(OCCCl)OCCCl	Training	0.209	0.4545420752
229	117-79-3	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	1.586	2.1853419304
230	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	1.992	1.0052019329
231	118-32-1	O=S(=O)(O)c2cc1ccc(O)cc1c(c2)S(=O)(=O)O	Training	0	0.6668389646
232	118-44-5	c1ccc2c(c1)cccc2(NCC)	Training	2.371	1.7064606401
233	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Training	4.21	3.6168740242
234	118-79-6	Oc1c(cc(cc1Br)Br)Br	Training	2.71	2.8945701209
235	118-83-2	O=[N+]([O-])c1ccc(cc1C(F)(F)F)Cl	Training	2.016	2.5336842513
236	118-91-2	O=C(O)c1ccccc1Cl	Training	0.5	0.4117028147
237	119-12-0	O=C1C=CC(=NN1c2ccccc2)OP(OCC)(OCC)=S	Training	0.868	1.7543769151
238	119-33-5	O=[N+]([O-])c1cc(ccc1(O))C	Training	0.962	1.039071452
239	119-47-1	Oc1c(cc(cc1C(C)(C)C)C)Cc2cc(cc(c2(O))C(C)(C)C)C	Training	2.595	2.5821328881
240	119-56-2	OC(c1ccccc1)c2ccc(cc2)Cl	Training	1.843	2.2772570774
241	119-61-9	O=C(c1ccccc1)c2ccccc2	Training	0.931	2.0360666146
242	119-64-2	c1ccc2c(c1)CCCC2	Training	2.471	3.0168804888
243	119-93-7	Nc1ccc(cc1C)c2ccc(N)c(c2)C	Training	1.601	1.4007703923
244	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	3.251	2.8223119315
245	120-52-5	O=C(ON=C2C=CC(=NOC(=O)c1ccccc1)C=C2)c3ccccc3	Training	0.433	1.8781606345
246	120-54-7	C(N1CCCCC1)(=S)SSSSC(N2CCCCC2)=S	Training	1.12	1.1034983479
247	120-71-8	O(c1ccc(cc1(N))C)C	Training	0.82	0.6795273111
248	120-78-5	n2c1ccccc1sc2SSC4=NC3CCCCC3S4	Training	1.15	2.3709517213
249	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	3.047	3.3873671133
250	120-83-2	Oc1ccc(cc1Cl)Cl	Training	1.883	1.4273725706
251	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	0.83	0.5720661011
252	121-44-8	N(CC)(CC)CC	Training	0.195	0.5912494547
253	121-69-7	c1ccc(cc1)N(C)C	Training	1.022	0.8328274771
