Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Nortriptyline	c1ccc3c(c1)C(=CCCNC)c2ccccc2CC3	C[NH2+]CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12	0.346410162	0.2957030664	TS		3.005	119.32	0.849	119.32	13.5	17	45.2	2.768	3	19	12	1.96	0.675	3.665	2.4	1	1	1	3.728	8
Paclitaxel	O=C(OC3C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(OC(=O)C)=C4C(C)C(OC(=O)C(O)C(NC(=O)c1ccccc1)c2ccccc2)CC3(O)C4(C)C)(C))))c7ccccc7	CC1C(CC2(O)C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C(=O)C(OC(C)=O)=C1C2(C)C)OC(C)=O)OC(=O)C(O)C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1	0.346410162	0.1899816157	TS		2.926	261.346	2.322	261.346	28.5	31	41.6	1.859	4.087	25	18	2.022	0.46	3.854	0.9	0	0	0	3.906	15
Beclomethasone dipropionate	O=C(OCC(=O)C3(OC(=O)CC)(C(C)CC2C4CC=C1CC(=O)C=CC1(C)C4(C(O)CC23(C))Cl))CC	CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(Cl)C(O)CC12C	0.360555128	0.1964741065	TS		3.576	120.19	3.104	159.338	8.5	21	38.4	0.953	2.807	17	0	2.024	0.236	4.029	0	0	0	0	3.873	0
Budesonide	O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23))CCC)C5)(C)	CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO	0.360555128	0.4493956618	TS		1.711	83.924	2.014	83.924	5.5	18	38.5	0.886	2.322	17	0	2.023	0.177	3.884	0	0	0	0	3.865	0
Nafcillin	O=C(O)C4N3C(=O)C(NC(=O)c2c(OCC)ccc1ccccc12)C3SC4(C)(C)	CCOC1=CC=C2C=CC=CC2=C1C(=O)NC1C2SC(C)(C)C(N2C1=O)C([O-])=O	0.360555128	0.1922137259	TS		1.84	117.624	2.604	149.844	15	13	42	2.505	3.248	9	10	2.061	0.517	3.771	4	0	-1	0	4.047	6
Nitrazepam	O=C2C=NC(c1ccccc1)c3cc(ccc3(N2))[N+](=O)[O-]	[O-][N+](=O)C1=CC=C2NC(=O)C=NC(C3=CC=CC=C3)C2=C1	0.360555128	0.3478171584	TS		2.269	101.447	2.057	101.447	18.5	10	46.9	2.754	3.459	8	12	1.954	0.881	3.667	9.4	0	0	0	3.806	8
Probenecid	O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C([O-])=O	0.360555128	0.4862538313	TS		2.143	76.287	1.979	82.094	10.5	9	35.1	1.367	2.807	6	6	1.984	0.553	3.645	2.7	0	-1	0	3.773	4
Propranolol	OC(COc1cccc2ccccc12)CNC(C)C	CC(C)[NH2+]CC(O)COC1=CC=CC2=CC=CC=C12	0.360555128	0.5396347357	TS		1.31	101.072	-1.15	101.072	10.5	11	39	2.336	2.7	9	10	2.047	0.553	2.913	2.4	1	1	1	3.667	7
Selegiline	C#CCN(C)C(C)Cc1ccccc1	CC(CC1=CC=CC=C1)[NH+](C)CC#C	0.360555128	0.4178228839	TS		2.234	112.78	-0.385	112.78	8	10	40.6	1.284	2.585	8	6	1.903	0.571	2.709	3.1	1	1	1	3.652	5
Quinacrine	N(=C1c3ccc(cc3(Nc2ccc(OC)cc12))Cl)C(C)CCCN(CC)CC	CC[NH+](CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=[NH+]C2=CC=C(OC)C=C12	0.360555128	0.4704183138	TS		4.002	126.537	0.224	165.686	14	14	38.3	3.543	3.17	5	13	2.116	0.5	3.912	5	2	2	2	3.857	6
Melphalan	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	[NH3+]C(CC1=CC=C(C=C1)N(CCCl)CCCl)C([O-])=O	0.374165739	0.6836814962	TS		0.763	63.007	-1.309	141.304	8	8	35.1	1.237	2.322	5	6	1.912	0.421	3.065	5.4	1	0	1	3.771	4
Nadolol	OC(COc1cccc2c1CC(O)C(O)C2)CNC(C)(C)C	CC(C)(C)[NH2+]CC(O)COC1=CC=CC2=C1CC(O)C(O)C2	0.92736185	0.8016892046	TS		-0.084	78.286	-2.326	78.286	6.5	10	34	1.26	2	6	6	1.963	0.295	3.103	2	1	1	1	3.713	3
Vinblastine	O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9))C)C	CCC1(O)CC2C[NH+](C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=C(OC)C=C2N(C)C3C4(CC[NH+]5CC=CC(CC)(C45)C(OC(C)=O)C3(O)C(=O)OC)C2=C1	0.374165739	0.7104010207	TS		1.766	215.672	-4.673	215.672	20.5	25	38.7	3.7	3.7	19	14	1.989	0.347	4.381	3.4	2	2	2	4.08	6
Clonazepam	O=C1C=NC(c2cc(ccc2(N1))[N+](=O)[O-])c3ccccc3Cl	[O-][N+](=O)C1=CC=C2NC(=O)C=NC(C3=CC=CC=C3Cl)C2=C1	0.387298335	0.2982293233	TS		2.933	95.471	2.575	134.62	18.5	10	46.9	2.814	3.459	6	12	1.955	0.841	3.833	9.4	0	0	0	3.924	7
Eletriptan	O=S(=O)(c1ccccc1)CCc2ccc3[nH]cc(c3(c2))CC4N(C)CCC4	C[NH+]1CCCC1CC1=CNC2=CC=C(CCS(=O)(=O)C3=CC=CC=C3)C=C12	0.387298335	0.2105926573	TS		2.878	119.036	-0.471	125.082	17	15	40.7	2.946	3.459	12	14	2.015	0.63	4.504	3.7	1	1	1	4.094	8
Flupirtine	O=C(OCC)NC=2C=CC(=NCc1ccc(F)cc1)NC=2(N)	CCOC(=O)NC1=CC=C(NCC2=CC=C(F)C=C2)[NH+]=C1N	0.387298335	0.4682728596	TS		2.617	98.862	1.916	98.862	14	8	37.5	2.215	3	5	11	1.888	0.636	3.614	10	1	1	2	3.833	6
Lorcainide	O=C(N(c1ccc(cc1)Cl)C2CCN(CC2)C(C)C)Cc3ccccc3	CC(C)[NH+]1CCC(CC1)N(C(=O)CC1=CC=CC=C1)C1=CC=C(Cl)C=C1	0.387298335	0.3361641151	TS		2.796	128.899	0.567	168.048	14	16	40.7	1.585	3	9	12	1.916	0.538	3.471	3.7	1	1	1	3.859	9
Mirtazapine	n1cccc3c1N4CCN(C)CC4(c2ccccc2C3)	CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1	0.387298335	0.3041251533	TS		3.095	95.038	3.115	95.038	12.5	10	43.6	2.517	2.807	10	11	1.929	0.625	3.698	7.7	0	0	0	3.717	6
Sisomicin	OC1C(OCC(O)(C)C1(NC))OC3C(O)C(OC2OC(=CCC2(N))CN)C(N)CC3(N)	C[NH2+]C1C(O)C(OC2C([NH3+])CC([NH3+])C(OC3OC(C[NH3+])=CCC3[NH3+])C2O)OCC1(C)O	0.387298335	0.9066153862	TS		-10.121	44.428	-21.426	44.428	1	4	26	0.26	1	1	0	1.855	0.032	3.227	6.8	5	5	5	3.796	0
Anidulafungin	O=C(NC1C(=O)NC(C(=O)N4CC(O)CC4(C(=O)NC(C(=O)NC(C(=O)N2CC(C)C(O)C2(C(=O)NC(O)C(O)C1))C(O)C)C(O)C(O)c3ccc(O)cc3))C(O)C)c5ccc(cc5)c6ccc(cc6)c7ccc(OCCCCC)cc7	CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)C1=CC=C(O)C=C1)C(C)O	0.4	0.2440830237	TS		0.257	265.687	-2.453	265.687	35.5	32	37.4	3.701	4.322	26	24	2.008	0.433	3.81	4.5	0	0	0	3.926	16
Desipramine	c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	C[NH2+]CCCN1C2=CC=CC=C2CCC2=CC=CC=C12	0.4	0.4175906414	TS		2.621	107.906	-0.04	107.906	12.5	13	41.9	2.448	2.807	11	12	1.905	0.625	3.665	4.7	1	1	1	3.728	8
Disopyramide	O=C(N)C(c1ncccc1)(c2ccccc2)CCN(C(C)C)C(C)C	CC(C)[NH+](CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C	0.4	0.4225491494	TS		1.857	135.445	-1.211	135.445	13.5	15	38.2	1.703	3	10	11	1.961	0.54	3.298	5.5	1	1	2	3.734	8
Fentanyl	O=C(N(c1ccccc1)C3CCN(CCc2ccccc2)CC3)CC	CCC(=O)N(C1CC[NH+](CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	0.4	0.3251064296	TS		2.278	130.69	0.084	130.69	14	16	40.7	1.782	3	12	12	1.912	0.56	3.445	3.7	1	1	1	3.834	10
Perindoprilat	O=C(O)C(NC(C(=O)N1C(C(=O)O)CC2CCCCC12)C)CCC	CCCC([NH2+]C(C)C(=O)N1C2CCCCC2CC1C([O-])=O)C([O-])=O	0.4	0.783026309	TS		-0.454	53.526	-2.487	53.526	4.5	10	33.3	0.205	2	7	0	1.822	0.187	3.062	3.9	1	-1	1	3.729	0
Remoxipride	O=C(NCC1N(CC)CCC1)c2c(OC)ccc(c2(OC))Br	CC[NH+]1CCCC1CNC(=O)C1=C(OC)C=CC(Br)=C1OC	0.4	0.6646077312	TS		1.17	128.316	-1.479	128.316	8.5	7	34.8	1.256	2.322	2	6	1.883	0.386	3.04	4.3	1	1	1	3.886	2
Azelastine	O=C2c1ccccc1C(=NN2C3CCN(C)CCC3)Cc4ccc(cc4)Cl	C[NH+]1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O	0.412310563	0.2696459229	TS		2.533	119.075	0.493	158.223	15	16	42.3	2.38	3.17	12	12	1.961	0.556	3.618	5.8	1	1	1	3.938	8
Betamipron	O=C(O)CCNC(=O)c1ccccc1	[O-]C(=O)CCNC(=O)C1=CC=CC=C1	0.412310563	0.7399817311	TS		0.065	66.626	1.331	66.626	9	7	41.7	1.286	2.585	6	6	1.878	0.643	2.716	4.2	0	-1	0	3.559	5
Bortezomib	O=C(NC(C(=O)NC(B(O)O)CC(C)C)Cc1ccccc1)c2nccnc2	CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O	0.412310563	0.4464460721	TS		1.919	112.595	-0.448	112.595	15	11	35.8	1.642	3.17	10	10	1.897	0.536	3.468	7.5	0	0	0	3.796	5
Butorphanol	Oc1ccc3c(c1)C45(CCN(CC2CCC2)C(C3)C5(O)(CCCC4))	OC1=CC=C2CC3[NH+](CC4CCC4)CCC4(CCCCC34O)C2=C1	0.412310563	0.4856646808	TS		2.261	61.822	-0.202	61.822	6.5	16	38.9	1.205	2	15	6	2.065	0.271	3.55	1.9	1	1	1	3.773	3
Nitrofurantoin	O=C2NC(O)=CN2(N=Cc1oc(cc1)[N+](=O)[O-])	[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O	0.412310563	0.8148761972	TS		0.319	49.555	0.096	49.555	11.5	2	34.8	1.859	3.087	1	4	1.549	0.676	3.349	17.4	0	0	0	3.766	2
Alprenolol	OC(COc1ccccc1CC=C)CNC(C)C	CC(C)[NH2+]CC(O)COC1=CC=CC=C1CC=C	0.424264069	0.5834980852	TS		1.409	98.46	-1.314	98.46	7.5	10	35.7	1.327	2.322	7	6	1.896	0.417	2.43	2.4	1	1	1	3.658	4
Cefazolin	O=C(O)C4C(=CSc1nnc(C)s1)CSC3N4(C(=O)C3(NC(=O)Cn2nnnc2))	CC1=NN=C(SC=C2CSC3C(NC(=O)CN4C=NN=N4)C(=O)N3C2C([O-])=O)S1	0.424264069	0.6525433003	TS		-1.503	48.53	1.068	144.247	14	5	33.3	1.855	3.322	0	3	1.859	0.483	3.677	19	0	-1	0	4.086	0
Diltiazem	O=C(OC3C(=O)N(c1ccccc1SC3(c2ccc(OC)cc2))CCN(C)C)C	COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CC[NH+](C)C)C(=O)C1OC(C)=O	0.424264069	0.2914345061	TS		1.64	141.155	-1.013	173.374	16.5	11	39.3	2.246	3.17	7	12	1.906	0.569	3.687	3.6	1	1	1	3.816	8
Ethambutol	OCC(NCCNC(CO)CC)CC	CCC(CO)NCC[NH2+]C(CC)CO	0.905538514	0.8527797048	TS		-1.12	26.931	-3.314	26.931	0	4	25.6	0	0	2	0	1.719	0	2.414	5.1	1	1	1	3.56	0
Alosetron	O=C3c2c1ccccc1n(c2CCN3Cc4nc[nH]c4C)C	CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)N=CN1)CC2	0.424264069	0.4423537788	TS		1.868	91.369	1.845	91.369	13.5	8	42.5	2.911	3.248	5	11	1.921	0.614	3.823	10	0	0	0	3.884	4
Cefodizime	O=C(O)C4=C(CSc1nc(c(CC(=O)O)s1)C)CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	CON=C(C(=O)NC1C2SCC(CSC3=NC(C)=C(CC([O-])=O)S3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	0.424264069	0.5480503103	TS		-0.436	70.602	0.566	197.596	18	7	36.4	1.9	3.585	0	6	1.866	0.486	3.954	10.9	0	-2	1	4.218	0
Bufuralol	OC(c2oc1c(cccc1CC)c2)CNC(C)(C)C	CCC1=C2OC(=CC2=CC=C1)C(O)C[NH2+]C(C)(C)C	0.435889894	0.5505041598	TS		2.095	93.89	-1.332	93.89	8	11	37.2	2.074	2.585	7	8	1.93	0.421	3.199	2.3	1	1	1	3.698	4
Ceforanide	O=C(O)C4=C(CSc1nnnn1CC(=O)O)CSC3N4(C(=O)C3(NC(=O)Cc2ccccc2CN))	[NH3+]CC1=CC=CC=C1CC(=O)NC1C2SCC(CSC3=NN=NN3CC([O-])=O)=C(N2C1=O)C([O-])=O	0.435889894	0.5064035713	TS		-2.498	82.296	-2.03	146.735	18	10	36.4	2.263	3.524	7	7	1.924	0.514	3.848	12.7	1	-1	1	3.991	4
Diphenhydramine	O(CCN(C)C)C(c1ccccc1)c2ccccc2	C[NH+](C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1	0.435889894	0.3384695621	TS		1.824	124.624	-0.422	124.624	12	12	41.5	1.891	2.807	12	12	1.944	0.632	3.298	2.4	1	1	1	3.729	10
Acetylmethadol, L-	O=C(OC(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)C	CCC(OC(C)=O)C(CC(C)[NH+](C)C)(C1=CC=CC=C1)C1=CC=CC=C1	0.447213595	0.3580001881	TS		3.178	156.662	0.829	156.662	13.5	18	39.7	1.672	3	16	12	1.997	0.519	3.298	1.7	1	1	1	3.729	10
Citalopram	N#Cc1ccc3c(c1)COC3(c2ccc(F)cc2)CCCN(C)C	C[NH+](C)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1	0.447213595	0.3149109608	TS		2.161	133.359	-0.384	133.359	15	13	43.5	2.243	3.17	11	12	1.955	0.625	3.685	4.3	1	1	1	3.792	7
Doxepin	O3c1ccccc1C(=CCCN(C)C)c2ccccc2C3	C[NH+](C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12	0.447213595	0.3351576049	TS		2.348	129.297	-0.156	129.297	14	14	44.2	2.793	3	14	12	1.958	0.667	3.665	2.3	1	1	1	3.726	8
Rifampin	O=C1N=C4C(O)=C5C(O)=C(C=2OC(OC=CC(OC)C(C)C(OC(=O)C)C(C)C(O)C(C)C(O)C(C=CC=C1C)C)(C(=O)C=2C5(=C(O)C4(=CNN3CCN(C)CC3)))C)C	COC1C=COC2(C)OC3=C(C2=O)C2=C(O)C(=CNN4CCN(C)CC4)C(=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C([O-])=C2C(O)=C3C	0.447213595	0.433043804	TS		1.454	203.25	0.903	203.25	20.5	22	37.1	4.463	3.807	12	6	2.104	0.347	3.984	3.4	0	-1	0	3.84	0
Triamcinolone Acetonide	O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23(F)))(C)C)C5)(C)	CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO	0.447213595	0.5514500544	TS		0.669	87.32	1.911	87.32	5.5	16	38.7	0.889	2.322	13	0	2.019	0.177	4.045	0	0	0	0	3.875	0
Methadone	O=C(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C	CCC(=O)C(CC(C)[NH+](C)C)(C1=CC=CC=C1)C1=CC=CC=C1	0.458257569	0.3490564506	TS		2.759	145.779	0.419	145.779	13.5	17	41.2	1.769	3	16	12	1.995	0.587	3.298	2	1	1	1	3.729	10
Cephalothin	O=C(O)C3C(=COC(=O)C)CSC2N3(C(=O)C2(NC(=O)Cc1cccs1))	CC(=O)OC=C1CSC2C(NC(=O)CC3=CC=CS3)C(=O)N2C1C([O-])=O	0.469041576	0.6918165661	TS		-0.325	78.254	1.046	141.752	11	7	39	1.128	3.087	1	4	1.858	0.423	3.508	4.9	0	-1	0	4.09	2
Dihydroquinidine	OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C4)CC	CCC1C[NH+]2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12	0.469041576	0.5552496509	TS		1.564	91.622	-1.409	91.622	10.5	12	39.2	2.319	2.7	9	9	2.036	0.437	3.265	3.9	1	1	1	3.901	4
Methylprednisolone	O=C4C=CC2(C(=C(C)CC1C3CCC(O)(C(=O)CO)C3(C)(CC(O)C12))C4)(C)	CC1=C2CC(=O)C=CC2(C)C2C(O)CC3(C)C(CCC3(O)C(=O)CO)C2C1	0.479583152	0.4836509729	TS		1.219	74.739	1.747	74.739	5.5	17	38.6	0.916	2.322	17	0	2.032	0.204	3.962	0	0	0	0	3.834	0
Chlorthalidone	O=C2NC(O)(c1ccc(c(c1)S(=O)(=O)N)Cl)c3ccccc23	NS(=O)(=O)C1=CC(=CC=C1Cl)C1(O)NC(=O)C2=CC=CC=C12	0.489897949	0.2864062321	TS		1.506	85.646	1.638	130.603	16.5	11	42.4	2.532	3.322	9	12	1.987	0.75	4.235	6.1	0	0	1	4.009	7
Propoxyphene	O=C(OC(c1ccccc1)(Cc2ccccc2)C(C)CN(C)C)CC	CCC(=O)OC(CC1=CC=CC=C1)(C(C)C[NH+](C)C)C1=CC=CC=C1	0.489897949	0.2912132586	TS		3.15	149.943	0.614	149.943	13.5	17	40	1.703	3	15	12	1.959	0.54	3.419	1.8	1	1	1	3.779	10
Trovafloxacin	O=C(O)C1=CN(c2nc(c(F)cc2(C1(=O)))N3CC4C(N)C4(C3))c5ccc(F)cc5(F)	[NH3+]C1C2CN(CC12)C1=C(F)C=C2C(=O)C(=CN(C3=CC=C(F)C=C3F)C2=N1)C([O-])=O	0.489897949	0.3754975003	TS		0.505	104.159	-0.471	104.159	17.5	8	44.4	2.605	3.322	3	11	1.933	0.583	3.898	8.9	1	0	1	3.931	4
Artesunate	O=C(O)CCC(=O)OC3OC1OC2(OOC14(C(CC2)C(C)CCC4(C3(C))))(C)	CC1CCC2C(C)C(OC(=O)CCC([O-])=O)OC3OC4(C)CCC1C23OO4	0.5	0.4086242638	TS		2.284	56.308	2.639	56.308	3	13	35.2	0.114	1.585	10	0	1.936	0.111	3.21	0	0	-1	0	3.647	0
Cefamandole	O=C(O)C4C(=CSc1nnnn1C)CSC3N4(C(=O)C3(NC(=O)C(O)c2ccccc2))	CN1N=NN=C1SC=C1CSC2C(NC(=O)C(O)C3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.5	0.5502991916	TS		-0.272	87.707	1.884	152.146	16	9	37.5	2.073	3.392	6	7	1.894	0.516	3.696	12.5	0	-1	0	3.974	5
Dapsone	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	0.5	0.4390712576	TS		1.439	84.425	2.061	90.471	16	8	41.4	2.167	3.17	4	12	2.044	0.941	3.535	6.9	0	0	2	3.764	8
Phenethicillin	O=C(O)C3N2C(=O)C(NC(=O)C(Oc1ccccc1)C)C2SC3(C)(C)	CC(OC1=CC=CC=C1)C(=O)NC1C2SC(C)(C)C(N2C1=O)C([O-])=O	0.5	0.6474773006	TS		1.026	95.224	1.573	127.444	11	9	38.6	1.044	2.807	4	6	1.852	0.44	3.467	4.5	0	-1	0	3.832	5
Prednisolone	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO	0.5	0.5237466617	TS		1.194	72.204	1.528	72.204	6	16	38.9	0.839	2.322	16	0	2.021	0.231	3.895	0	0	0	0	3.832	0
Tacrine	N=C1c3ccccc3(NC2=C1CCCC2)	NC1=C2C=CC=CC2=[NH+]C2=C1CCCC2	0.5	0.4893846574	TS		2.686	61.459	2.209	61.459	9.5	10	43.3	2.411	2.7	8	9	2.065	0.633	3.433	6.7	1	1	2	3.617	4
Epirubicin	O=C(CO)C2(O)(C=C3C(O)=C4C(O)=C5C=CC=C(OC)C5(=C(O)C4(=C(O)C3(=C(OC1OC(C)C(O)C(N)C1)C2))))	COC1=CC=CC2=C(O)C3=C(O)C4=CC(O)(CC(OC5CC([NH3+])C(O)C(C)O5)=C4C(O)=C3C([O-])=C12)C(=O)CO	0.5	0.4747350476	TS		-1.65	97.642	-5.085	97.642	19.5	13	39.7	4.464	3.585	7	14	2.199	0.5	4.641	1.5	1	0	1	3.943	3
Encainide	O=C(Nc1ccccc1CCC2N(C)CCCC2)c3ccc(OC)cc3	COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCC[NH+]1C	0.509901951	0.3125119705	TS		2.835	128.944	-0.188	128.944	14.5	15	40	2.323	3	12	12	1.928	0.558	3.719	3.6	1	1	1	3.833	8
Methohexital	O=C1NC(=O)C(C(=O)N1C)(CC=C)C(C#CCC)C	CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O	0.519615242	0.4924670444	TS		2.314	104.105	1.397	104.105	7.5	10	37.8	0.729	2.807	9	0	1.858	0.395	3.044	5.4	0	0	0	3.536	0
Ondansetron	O=C3c2c1ccccc1n(c2CCC3Cn4ccnc4C)C	CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=C[NH+]=C1C)CC2	0.519615242	0.3369743327	TS		2.531	98.517	2.058	98.517	12.5	10	42.9	2.911	3.248	7	11	1.933	0.568	3.823	7.1	1	1	1	3.935	4
Prednisone	O=C1C=CC4(C(=C1)CCC3C4(C(=O)CC2(C)(C3(CCC2(O)(C(=O)CO)))))(C)	CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO	0.519615242	0.533153699	TS		1.011	77.338	1.442	77.338	7.5	16	40.4	0.903	2.585	16	0	2.02	0.288	3.903	0	0	0	0	3.832	0
Guanfacine	O=C(NC(=N)N)Cc1c(cccc1Cl)Cl	NC(=[NH2+])NC(=O)CC1=C(Cl)C=CC=C1Cl	0.529150262	0.7148778399	TS		0.317	47.754	2.296	126.051	9	7	36	1.389	2.585	3	6	1.89	0.6	2.971	12	1	1	2	3.608	3
Alprazolam	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)c4C	CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12	0.538516481	0.3231938	TS		3.726	106.782	4.739	145.931	17.5	12	48.6	3.545	3.392	8	14	1.944	0.795	3.862	11.4	0	0	0	3.824	8
Vorinostat	O=C(Nc1ccccc1)CCCCCCC(O)=NO	ON=C([O-])CCCCCCC(=O)NC1=CC=CC=C1	0.538516481	0.4841487456	TS		2.004	74.388	2.463	74.388	9.5	11	36.8	1.202	2.585	9	6	1.86	0.5	2.958	5.3	0	-1	0	3.645	5
Fenoximone	O=C2NC(C(=O)c1ccc(cc1)SC)=C(N2)C	CSC1=CC=C(C=C1)C(=O)C1=C(C)NC(=O)N1	0.547722558	0.7244621758	TS		1.281	73.58	1.827	105.799	11	7	41.4	1.552	2.807	4	6	1.897	0.647	3.542	6.9	0	0	0	3.813	4
Remifentanil	O=C(OC)CCN2CCC(C(=O)OC)(N(c1ccccc1)C(=O)CC)CC2	CCC(=O)N(C1=CC=CC=C1)C1(CC[NH+](CCC(=O)OC)CC1)C(=O)OC	0.547722558	0.5450843757	TS		0.105	116.272	-1.781	116.272	11	10	35.7	0.993	2.807	5	6	1.908	0.407	3.377	3.6	1	1	1	3.76	5
Mepivacaine	O=C(Nc1c(cccc1C)C)C2N(C)CCCC2	C[NH+]1CCCCC1C(=O)NC1=C(C)C=CC=C1C	0.547722558	0.6237083746	TS		1.527	78.017	-1.3	78.017	8	10	36.6	1.206	2.322	8	6	1.917	0.444	3.167	4.9	1	1	1	3.783	3
Adinazolam	n1nc(n2c4ccc(cc4(C(=NCc12)c3ccccc3))Cl)CN(C)C	CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12	0.556776436	0.3122634789	TS		3.946	116.855	4.412	156.004	17.5	11	44.2	3.497	3.392	8	14	1.944	0.7	3.872	11.6	0	0	0	3.831	8
Cefixime	O=C(O)C2=C(C=C)CSC3C(=NC(=O)C(NOCC(=O)O)C1=CSC(=N)N1)C(=O)N23	NC1=NC(=CS1)C(NOCC([O-])=O)C(=O)N=C1C2SCC(C=C)=C(N2C1=O)C([O-])=O	0.556776436	0.6039803503	TS		-1.692	73.18	0.28	136.677	15	5	37.2	1.734	3.392	2	3	1.865	0.5	3.804	11.6	0	-2	1	4.105	0
Dexamethasone	O=C4C=CC2(C(=CCC1C3CC(C)C(O)(C(=O)CO)C3(C)(CC(O)C12(F)))C4)(C)	CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	0.565685425	0.4907672966	TS		1.22	78.495	1.855	78.495	5.5	16	38.6	0.909	2.322	15	0	2.019	0.196	4.005	0	0	0	0	3.841	0
Quinaprilat	O=C(O)C(NC(C(=O)N2Cc1ccccc1CC2(C(=O)O))C)CCc3ccccc3	CC([NH2+]C(CCC1=CC=CC=C1)C([O-])=O)C(=O)N1CC2=CC=CC=C2CC1C([O-])=O	0.565685425	0.4252341652	TS		0.47	131.512	-1.625	131.512	16.5	16	41.8	1.968	3.322	15	12	1.955	0.55	3.447	3.6	1	-1	1	3.852	9
Nevirapine	O=C2Nc1c(nccc1C)N(c3ncccc23)C4CC4	CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1	0.565685425	0.4800065737	TS		2.294	78.906	2.165	78.906	14.5	8	44.1	2.537	3	5	10	1.831	0.725	3.834	11.8	0	0	0	3.732	3
