ID	CAS	SMILES	Status	EC50 log(mg/L)
278	2439-35-2	O=C(OCCN(C)C)C=C	Test	0.00000
279	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Test	0.17609
280	122-40-7	O=CC(=Cc1ccccc1)CCCCC	Test	0.17609
281	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Test	0.20412
282	19398-61-9	c1cc(c(cc1Cl)C)Cl	Test	0.23045
283	141-32-2	O=C(OCCCC)C=C	Test	0.23045
284	84-69-5	O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C)	Test	0.25527
285	111-30-8	O=CCCCC=O	Test	0.27875
286	88-60-8	Oc1cc(ccc1C(C)(C)C)C	Test	0.27875
287	544-63-8	O=C(O)CCCCCCCCCCCCC	Test	0.32222
288	118-69-4	c1cc(c(c(c1)Cl)C)Cl	Test	0.43136
289	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Test	0.43136
290	91-66-7	c1ccc(cc1)N(CC)CC	Test	0.44716
291	96-33-3	O=C(OC)C=C	Test	0.49136
292	1118-61-2	N#CC=C(N)C	Test	0.51851
293	119-61-9	O=C(c1ccccc1)c2ccccc2	Test	0.54407
294	634-93-5	Nc1c(cc(cc1Cl)Cl)Cl	Test	0.56820
295	112-85-6	O=C(O)CCCCCCCCCCCCCCCCCCCCC	Test	0.61278
296	688-84-6	O=C(OCC(CC)CCCC)C(=C)C	Test	0.72428
297	120-61-6	O=C(OC)c1ccc(cc1)C(=O)OC	Test	0.72428
298	95-08-8	FC(F)(F)c1ccccc1	Test	0.73239
299	60-00-4	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Test	0.77815
300	106-43-4	c1cc(ccc1C)Cl	Test	0.78533
301	143-07-7	O=C(O)CCCCCCCCCCC	Test	0.79239
302	78-67-1	N#CC(N=NC(C#N)(C)C)(C)C	Test	0.89209
303	487-68-3	O=Cc1c(cc(cc1C)C)C	Test	0.89763
304	89-63-4	O=[N+]([O-])c1cc(ccc1(N))Cl	Test	0.92942
305	95-64-7	Nc1ccc(c(c1)C)C	Test	0.93450
306	97-39-2	N(=C(N)Nc1ccccc1C)c2ccccc2C	Test	0.93450
307	108-05-4	O=C(OC=C)C	Test	0.94939
308	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Test	0.97772
309	105-67-9	Oc1ccc(cc1C)C	Test	0.98677
310	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Test	1.00000
311	2100-42-7	O(c1ccc(OC)c(c1)Cl)C	Test	1.00000
312	50512-35-1	O=C(OC(C)C)C(C(=O)OC(C)C)=C1SCCS1	Test	1.00000
313	2840-28-0	O=C(O)c1ccc(c(N)c1)Cl	Test	1.04139
314	96-96-8	O=[N+]([O-])c1cc(OC)ccc1(N)	Test	1.07918
315	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Test	1.07918
316	606-20-2	O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Test	1.17609
317	80-43-3	O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C	Test	1.17609
318	79-19-6	NNC(N)=S	Test	1.27875
319	108-42-9	Nc1cccc(c1)Cl	Test	1.27875
320	100-61-8	c1ccc(cc1)NC	Test	1.30103
321	93-15-2	O(c1ccc(cc1(OC))CC=C)C	Test	1.34242
322	63-74-1	O=S(=O)(N)c1ccc(N)cc1	Test	1.36173
323	97-88-1	O=C(OCCCC)C(=C)C	Test	1.36173
324	106-49-0	Nc1ccc(cc1)C	Test	1.38021
325	96-09-3	O1CC1c2ccccc2	Test	1.39794
326	89-04-3	O=C(OCCCCCCCC)c1ccc(C(=O)OCCCCCCCC)c(c1)C(=O)OCCCCCCCC	Test	1.39794
327	75-07-0	O=CC	Test	1.41497
328	108-69-0	Nc1cc(cc(c1)C)C	Test	1.46240
329	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Test	1.63347
330	95-16-9	n1csc2ccccc12	Test	1.66276
331	111-17-1	O=C(O)CCSCCC(=O)O	Test	1.69897
332	103-23-1	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Test	1.69897
333	119-06-2	O=C(OCCCCCCCCCCCCC)c1ccccc1(C(=O)OCCCCCCCCCCCCC)	Test	1.69897
334	106-44-5	Oc1ccc(cc1)C	Test	1.71600
335	98-59-9	O=S(=O)(c1ccc(cc1)C)Cl	Test	1.75587
336	760-23-6	C=CC(CCl)Cl	Test	1.76343
337	110-91-8	O1CCNCC1	Test	1.76343
338	124-04-9	O=C(O)CCCCC(=O)O	Test	1.77085
339	100-69-6	n1ccccc1C=C	Test	1.79239
340	10500-57-9	n1cccc2c1CCCC2	Test	1.80618
341	92-70-6	O=C(O)c1cc2ccccc2(cc1(O))	Test	1.80618
342	61-82-5	n1cnc(N)[nH]1	Test	1.81291
343	88-09-5	O=C(O)C(CC)CC	Test	1.86332
344	79-01-6	C(=C(Cl)Cl)Cl	Test	1.88649
345	11070-44-3	O=C2OC(=O)C1(C2(=CCCC1))(C)	Test	1.90849
346	110-44-1	O=C(O)C=CC=CC	Test	1.92942
347	80-62-6	O=C(OC)C(=C)C	Test	1.93450
348	763-69-9	O=C(OCC)CCOCC	Test	1.93450
349	134-62-3	O=C(c1cccc(c1)C)N(CC)CC	Test	2.00000
350	117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Test	2.00000
351	111-03-5	O=C(OCC(O)CO)CCCCCCCC=CCCCCCCCC	Test	2.11394
352	91-15-6	N#Cc1ccccc1(C#N)	Test	2.14613
353	591-27-5	Oc1cccc(N)c1	Test	2.20412
354	78-59-1	O=C1C=C(C)CC(C)(C)C1	Test	2.36173
355	470-82-6	O1C(C)(C)C2CCC1(C)CC2	Test	2.39794
356	90-05-1	Oc1ccccc1(OC)	Test	2.43136
357	9014-90-8	O(c1ccccc1CCCCCCCCC)c2ccccc2CCCCCCCCC	Test	2.57978
358	108-65-6	O=C(OC(C)COC)C	Test	3.00000
359	105-60-2	O=C1NCCCCC1	Test	3.00000
360	60-80-0	O=C1C=C(N(N1c2ccccc2)C)C	Test	3.00000
361	41451-28-9	O=C(OCCCCC(C)C)c1ccccc1(C(=O)OCCCCC(C)C)	Test	3.00000
