ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
218	1119-40-0	O=C(OC)CCCC(=O)OC	Training	1
219	66-81-9	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	Training	1
220	56-75-7	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Training	0
221	298-02-2	O(CC)P(OCC)(=S)SCSCC	Training	1
222	536-33-4	n1ccc(cc1CC)C(N)=S	Training	0
223	102-71-6	OCCN(CCO)CCO	Training	0
224	59-14-3	O=C1NC(=O)N(C=C1Br)C2OC(CO)C(O)C2	Training	1
225	91-20-3	C1CCC2CCCCC2(C1)	Training	1
226	97-54-1	Oc1ccc(C=CC)cc1(OC)	Training	1
227	110-88-3	O1COCOC1	Training	0
228	7085-55-4	[O-][n+]3c5ccc1ccccc1c5(cc2c4ccccc4(ccc23))	Training	0
229	59-67-6	O=C(O)c1cnccc1	Training	0
230	81-07-2	O=C1NS(=O)(=O)c2ccccc12	Training	0
232	31430-15-6	O=C(OC)Nc1nc2cc(ccc2([nH]1))C(=O)c3ccc(F)cc3	Training	0
233	79-09-4	O=C(O)CC	Training	0
234	563-41-7	O=C(N)NN	Training	0
235	21340-68-1	O=C(OC)C(Oc1ccc(cc1)c2ccc(cc2)Cl)(C)C	Training	0
236	1634-04-4	O(C)C(C)(C)C	Training	0
237	548-83-4	O=C1C(O)=C(Oc2cc(O)cc(O)c12)c3ccccc3	Training	1
238	121-33-5	O=Cc1ccc(O)c(OC)c1	Training	0
239	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	0
240	60-35-5	O=C(N)C	Training	0
241	25152-84-5	O=CC=CC=CCCCCC	Training	1
242	121-44-8	N(CC)(CC)CC	Training	1
243	1163-19-5	O(c1c(c(c(c(c1Br)Br)Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Training	1
244	3731-39-3	N(=Nc1ccccc1C)c2ccc(cc2)N(C)C	Training	0
245	126-98-7	N#CC(=C)C	Training	0
246	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	0
247	680-31-9	O=P(N(C)C)(N(C)C)N(C)C	Training	1
248	961-11-5	O=P(OC(=CCl)c1cc(c(cc1Cl)Cl)Cl)(OC)OC	Training	0
249	502-44-3	O=C1OCCCCC1	Training	0
250	522-40-7	O=P(O)(O)Oc1ccc(cc1)C(=C(c2ccc(OP(=O)(O)O)cc2)CC)CC	Training	0
251	59865-13-3	O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	Training	0
252	57-63-6	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	Training	0
253	64-77-7	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	Training	1
254	1070-11-7	OCC(NCCNC(CO)CC)CC	Training	1
255	99-08-1	O=[N+]([O-])c1cccc(c1)C	Training	0
256	53-86-1	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	Training	1
258	68-12-2	O=CN(C)C	Training	0
259	98-83-9	C=C(c1ccccc1)C	Training	1
260	140-64-7	N=C(N)c2ccc(OCCCCCOc1ccc(cc1)C(=N)N)cc2	Training	0
261	126-07-8	O=C3C=C(OC)C2(Oc1c(c(OC)cc(OC)c1Cl)C2(=O))C(C)C3	Training	0
262	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	0
263	139-13-9	O=C(O)CN(CC(=O)O)CC(=O)O	Training	0
264	67-68-5	O=S(C)C	Training	0
265	637-07-0	O=C(OCC)C(Oc1ccc(cc1)Cl)(C)C	Training	0
266	54827-17-7	Nc1c(cc(cc1C)c2cc(c(N)c(c2)C)C)C	Training	1
267	69866-21-3	O=C(N)N3c2c(O)c(OC)c1[nH]c(cc1c2CC3)C(=O)N6c5c(O)c(OC)c4[nH]c(cc4c5CC6)C(=O)N9C8=CC(=O)c7[nH]cc(c7C8%10(CC%10(C9)))C	Training	1
268	2432-99-7	O=C(O)CCCCCCCCCCN	Training	0
269	83-67-0	O=C1NC(=O)N(c2ncn(c12)C)C	Training	1
270	96-48-0	O=C1OCCC1	Training	0
271	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	0
272	517-28-2	Oc4ccc2c(OCC3(O)(Cc1cc(O)c(O)cc1C23))c4(O)	Training	0
273	95-51-2	Nc1ccccc1Cl	Training	1
274	115-96-8	O=P(OCCCl)(OCCCl)OCCCl	Training	1
275	78-93-3	O=C(C)CC	Training	0
276	439-14-5	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	Training	1
277	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	0
278	108-91-8	NC1CCCCC1	Training	1
