id		smiles	status	exp values
154		O=C(NC1C(=O)NC(C(=O)N4CC(O)CC4(C(=O)NC(C(=O)NC(C(=O)N2CC(C)C(O)C2(C(=O)NC(O)C(O)C1))C(O)C)C(O)C(O)c3ccc(O)cc3))C(O)C)c5ccc(cc5)c6ccc(cc6)c7ccc(OCCCCC)cc7	Training	0.4
155		c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	Test	0.4
156		O=C(N)C(c1ncccc1)(c2ccccc2)CCN(C(C)C)C(C)C	Test	0.4
157		O=C(N(c1ccccc1)C3CCN(CCc2ccccc2)CC3)CC	Test	0.4
158		O=C(O)C(NC(C(=O)N1C(C(=O)O)CC2CCCCC12)C)CCC	Test	0.4
159		O=C(NCC1N(CC)CCC1)c2c(OC)ccc(c2(OC))Br	Test	0.4
160		O=C2c1ccccc1C(=NN2C3CCN(C)CCC3)Cc4ccc(cc4)Cl	Test	0.4123
161		O=C(O)CCNC(=O)c1ccccc1	Test	0.4123
162		O=C(NC(C(=O)NC(B(O)O)CC(C)C)Cc1ccccc1)c2nccnc2	Test	0.4123
163		Oc1ccc3c(c1)C45(CCN(CC2CCC2)C(C3)C5(O)(CCCC4))	Test	0.4123
164		O=C2NC(O)=CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Test	0.4123
165		OC(COc1ccccc1CC=C)CNC(C)C	Training	0.4243
166		O=C(O)C4C(=CSc1nnc(C)s1)CSC3N4(C(=O)C3(NC(=O)Cn2nnnc2))	Training	0.4243
167		O=C(OC3C(=O)N(c1ccccc1SC3(c2ccc(OC)cc2))CCN(C)C)C	Training	0.4243
168		OCC(NCCNC(CO)CC)CC	Training	0.9055
169		O=C3c2c1ccccc1n(c2CCN3Cc4nc[nH]c4C)C	Training	0.4243
170		O=C(O)C4=C(CSc1nc(c(CC(=O)O)s1)C)CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	Test	0.4243
171		OC(c2oc1c(cccc1CC)c2)CNC(C)(C)C	Training	0.4359
172		O=C(O)C4=C(CSc1nnnn1CC(=O)O)CSC3N4(C(=O)C3(NC(=O)Cc2ccccc2CN))	Test	0.4359
173		O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	0.4359
174		O=C(OC(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)C	Test	0.4472
175		N#Cc1ccc3c(c1)COC3(c2ccc(F)cc2)CCCN(C)C	Test	0.4472
176		O3c1ccccc1C(=CCCN(C)C)c2ccccc2C3	Test	0.4472
177		O=C1N=C4C(O)=C5C(O)=C(C=2OC(OC=CC(OC)C(C)C(OC(=O)C)C(C)C(O)C(C)C(O)C(C=CC=C1C)C)(C(=O)C=2C5(=C(O)C4(=CNN3CCN(C)CC3)))C)C	Test	0.4472
178		O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23(F)))(C)C)C5)(C)	Test	0.4472
179		O=C(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C	Test	0.4583
180		O=C(O)C3C(=COC(=O)C)CSC2N3(C(=O)C2(NC(=O)Cc1cccs1))	Test	0.469
181		OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C4)CC	Test	0.469
182		O=C4C=CC2(C(=C(C)CC1C3CCC(O)(C(=O)CO)C3(C)(CC(O)C12))C4)(C)	Test	0.4796
183		O=C2NC(O)(c1ccc(c(c1)S(=O)(=O)N)Cl)c3ccccc23	Test	0.4899
184		O=C(OC(c1ccccc1)(Cc2ccccc2)C(C)CN(C)C)CC	Test	0.4899
185		O=C(O)C1=CN(c2nc(c(F)cc2(C1(=O)))N3CC4C(N)C4(C3))c5ccc(F)cc5(F)	Training	0.4899
186		O=C(O)CCC(=O)OC3OC1OC2(OOC14(C(CC2)C(C)CCC4(C3(C))))(C)	Test	0.5
187		O=C(O)C4C(=CSc1nnnn1C)CSC3N4(C(=O)C3(NC(=O)C(O)c2ccccc2))	Test	0.5
188		O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Test	0.5
189		O=C(O)C3N2C(=O)C(NC(=O)C(Oc1ccccc1)C)C2SC3(C)(C)	Test	0.5
190		O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Test	0.5
191		N=C1c3ccccc3(NC2=C1CCCC2)	Test	0.5
192		O=C(CO)C2(O)(C=C3C(O)=C4C(O)=C5C=CC=C(OC)C5(=C(O)C4(=C(O)C3(=C(OC1OC(C)C(O)C(N)C1)C2))))	Test	0.5
193		O=C(Nc1ccccc1CCC2N(C)CCCC2)c3ccc(OC)cc3	Test	0.5099
194		O=C1NC(=O)C(C(=O)N1C)(CC=C)C(C#CCC)C	Training	0.5196
195		O=C3c2c1ccccc1n(c2CCC3Cn4ccnc4C)C	Test	0.5196
196		O=C1C=CC4(C(=C1)CCC3C4(C(=O)CC2(C)(C3(CCC2(O)(C(=O)CO)))))(C)	Test	0.5196
197		O=C(NC(=N)N)Cc1c(cccc1Cl)Cl	Test	0.5292
198		n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)c4C	Test	0.5385
199		O=C(Nc1ccccc1)CCCCCCC(O)=NO	Test	0.5385
200		O=C2NC(C(=O)c1ccc(cc1)SC)=C(N2)C	Test	0.5477
201		O=C(OC)CCN2CCC(C(=O)OC)(N(c1ccccc1)C(=O)CC)CC2	Test	0.5477
202		O=C(Nc1c(cccc1C)C)C2N(C)CCCC2	Test	0.5477
203		n1nc(n2c4ccc(cc4(C(=NCc12)c3ccccc3))Cl)CN(C)C	Test	0.5568
204		O=C(O)C2=C(C=C)CSC3C(=NC(=O)C(NOCC(=O)O)C1=CSC(=N)N1)C(=O)N23	Test	0.5568
205		O=C4C=CC2(C(=CCC1C3CC(C)C(O)(C(=O)CO)C3(C)(CC(O)C12(F)))C4)(C)	Test	0.5657
206		O=C(O)C(NC(C(=O)N2Cc1ccccc1CC2(C(=O)O))C)CCc3ccccc3	Test	0.5657
207		O=C2Nc1c(nccc1C)N(c3ncccc23)C4CC4	Test	0.5657
208		NC23(CC1CC(CC(C1)C2)C3)	Test	0.5745
209		O=C(Nc1c(cccc1C)C)CN(CC)CC	Test	0.5745
210		O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Test	0.5831
211		O=C(O)C2=C(SCCOC(=O)N)SC1N2(C(=O)C1(C(O)C))	Test	0.5916
212		O=C(NC2CC1N(C)C(CCC1)C2)c3nn(c4ccccc34)C	Training	0.5916
213		c1ccc(cc1)C3(N2CCCCC2)(CCCCC3)	Test	0.5916
214		n1csc(c1C)CCCl	Test	0.6
215		O=C(NC2c1ccccc1CC2(O))C(Cc3ccccc3)CC(O)CN5CCN(Cc4cnccc4)CC5(C(=O)NC(C)(C)C)	Training	0.6
216		O(c1c(cccc1C)C)CC(N)C	Training	0.6
217		O=C(O)C(NS(=O)(=O)CCCC)Cc2ccc(OCCCCC1CCNCC1)cc2	Test	0.6
218		O=S(=O)(Nc2ccc(OCCN(C)CCc1ccc(cc1)NS(=O)(=O)C)cc2)C	Test	0.6
219		Oc1ccc3c(c1)CCc2ccccc2N3CCCN(C)C	Test	0.6
220		O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3C(=N)NC(=N)Nc3(nc2))C(=O)O	Test	0.6083
221		O=C2c1cccc5c1C(CN2C4CN3CCC4(CC3))CCC5	Training	0.6164
222		O=C(O)c1cc(N)ccc1(O)	Training	0.6245
223		O=C(O)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(N)c1ccc(O)cc1))	Test	0.6245
224		O=C(O)C3=C(COC2N3(C(=O)C2(OC)(NC(=O)C(C(=O)O)c1ccc(O)cc1)))CSc4nnnn4C	Test	0.6245
225		O=C1NC(=O)C(C(=O)N1)(CC)C(C)CCC	Training	0.6245
226		O=C(Nc1ccc(OCC(O)CNC(C)(C)C)cc1)NC2CCCCC2	Test	0.6245
