ID	CAS	SMILES VEGA	Status	Exp. endpoint
173	000104-31-4	O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(cc1)NCCCC	Training	0.7404
174	000106-42-3	c1cc(ccc1C)C	Training	1.4814
175	000106-60-5	O=C(O)CCC(=O)CN	Training	-0.0809
176	000108-38-3	c1cc(cc(c1)C)C	Training	1.5185
177	000108-95-2	Oc1ccccc1	Training	0.5441
178	000113-00-8	N=C(N)N	Training	0.8751
179	000113-15-5	O=C6N1CCCC1C8(O)(OC(NC(O)C3C=C2c5cccc4[nH]cc(C=C2N(C)C3)c45)(C(=O)N8(C6Cc7ccccc7))C)	Training	0.3222
180	000113-18-8	C#CC(O)(C=CCl)CC	Training	1.7818
181	000113-42-8	OCC(NC(O)C2C=C1c4cccc3[nH]cc(C=C1N(C)C2)c34)CC	Training	0.5302
182	000113-45-1	O=C(OC)C(c1ccccc1)C2NCCCC2	Training	0.6812
183	000113-59-7	c1ccc3c(c1)C(=CCCN(C)C)c2cc(ccc2S3)Cl	Training	1
184	000115-38-8	O=C2NC(=O)C(c1ccccc1)(C(=O)N2C)CC	Training	1.5315
185	000115-67-3	O=C1OC(C(=O)N1C)(C)CC	Training	1.2553
186	000117-39-5	O=C3C=C(C=1OC2=C(C(=O)C=1(O))C(=O)CC(=O)C2)CCC3(=O)	Training	-0.2218
187	000117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	Training	-0.1249
188	000117-96-4	O=C(O)c1c(c(NC(=O)C)c(c(NC(=O)C)c1I)I)I	Training	0.2553
189	000118-42-3	OCCN(CC)CCCC(Nc2ccnc1cc(ccc12)Cl)C	Training	2.9294
190	000118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Training	4.2494
191	000121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	0.301
192	000121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	1.2041
193	000122-09-8	NC(C)(C)Cc1ccccc1	Training	1.3711
194	000123-91-1	O1CCOCC1	Training	0
195	000123-99-9	O=C(O)CCCCCCCC(=O)O	Training	-0.1249
196	000124-94-7	O=C1C=CC3(C(=C1)CCC2C4CC(O)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C)	Training	0.1663
197	000125-29-1	O=C1CCC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	Training	0.3274
198	000125-33-7	O=C2NCNC(=O)C2(c1ccccc1)CC	Training	1.1139
199	000125-64-4	O=C1NCC(C(=O)C1(CC)CC)C	Training	1.0414
200	000125-71-3	O(c1ccc2c(c1)C34(CCN(C)C(C2)C4(CCCC3)))C	Training	0.6532
201	000125-84-8	O=C2NC(=O)C(c1ccc(N)cc1)(CC)CC2	Training	1.0969
202	000126-07-8	O=C3C=C(OC)C2(Oc1c(c(OC)cc(OC)c1Cl)C2(=O))C(C)C3	Training	1.1761
203	000126-52-3	O=C(OC1(C#C)(CCCCC1))N	Training	0.3495
204	000127-07-1	O=C(N)NO	Training	0.5315
