id 	cas	smiles	status	exp value
494		O=C3C=C(Oc1ccc(F)cc1(F))c2cnc(nc2N3C)NCC(O)(C)C	Training	1
495		O=C(N(c1c(cccc1CC)C)C(C)COC)CS(=O)(=O)O	Training	1
496		O=C(O)C(N)Cc2c[nH]c1ccccc12	Training	1
497		O=C(OCCCC)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C	Training	1
498		O=P(OCCCl)(OCCCl)OCCCl	Training	1
499		N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23	Training	1
500		O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	Training	1
501		Fc1ccccc1C(F)COC4CCC(NC=3NC=NC2=NN=CC2=3)CC4	Training	1
502		O=C(O)c1ccccc1	Training	1
503		O=S(CCCCCCCCCC3Cc1cc(O)ccc1C2CCC4(C)(C(O)CCC4(C23)))CCCC(F)(F)C(F)(F)F	Training	1
504		O=S(=O)(N)c2ccc(Oc1ccc(c(c1)C)SC)c(c2)CN(C)C	Training	1
505		Nc1c(cccc1CC)CC	Training	1
506		OCCCBr	Test	1
507		OCC(CC)CCCC	Training	1
508		O=C1NC(=O)N(c2ncn(c12)C)C	Training	1
509		OCCCCCCCCCCC	Training	1
510		O=C2C=C(N=C3C(OCCN1CCCCC1)=CC=CN23)OCN5C(=O)c4c(cc(OC)cc4S5(=O)(=O))C(C)C	Training	1
511		O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C	Training	1
512		O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	1
513		N#Cc1cc(c(O)c(c1)Br)Br	Test	1
514		N=2c1cc(cc(c1CN3C=2CCCCC3)Cl)Cl	Training	1
515		O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	1
516		o2c1ccccc1c3ccccc23	Training	1
517		n1ccc(cc1)c2ccncc2	Training	1
518		OC2(C(=Cc1ccc(cc1)Cl)CCC2(C)(C))(Cn3ncnc3)	Training	1
519		O=C1Nc2cc(c(c(c2(NC1(=O)))n3c(nnc3COC)c4ccc[n+]([O-])c4)Cl)Cl	Training	1
520		O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(nc1))Cl)cc3)C	Training	1
521		O=C1Oc3ccccc3(C(O)=C1C(c2ccccc2)CC(=O)C)	Training	1
522		O=C(OCC)COc1cc(c(F)cc1Cl)c2nn(c(OC(F)F)c2Cl)C	Training	1
523		O=C(N)C=C	Training	1
524		O=C(NC(C)C)N2C(=O)N(c1cc(cc(c1)Cl)Cl)C(=O)C2	Training	1
525		O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	1
