no.	cas	SMILES	Status	Experimental
245	3319-31-1	CCCCC(CC)COC(=O)C1=CC=C(C(=O)OCC(CC)CCCC)C(=C1)C(=O)OCC(CC)CCCC	Training	0
246	16397-70-9	CCCCC(CC)COC(=O)C1=CC=C(C=C1)[N+]([O-])=O	Training	0
247	5444-75-7	CCCCC(CC)COC(=O)C1=CC=CC=C1	Test	0
248	84731-70-4	CCCCC(CC)COC(=O)C1CCC(CC1)C(=O)OCC(CC)CCCC	Training	0
249	13361-34-7	CCCCC(CC)COC(=O)CC#N	Training	0
250	144-15-0	CCCCC(CC)COC(=O)CC(CC(=O)OCC(CC)CCCC)(OC(C)=O)C(=O)OCC(CC)CCCC	Test	0
251	122-62-3	CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC	Training	0
252	24293-43-4	CCCCC(CC)COC(=O)CSCC(=O)OCC(CC)CCCC	Training	0
253	14858-73-2	CCCCC(CC)COC(=O)OCC(CC)CCCC	Training	0
254	16111-62-9	CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC	Training	1
255	70833-40-8	CCCCC(CC)COC(=O)OOC(C)(C)CC	Training	0
256	103-09-3	CCCCC(CC)COC(C)=O	Test	0
257	22174-70-5	CCCCC(CC)COCOCC(CC)CCCC	Training	0
258	1241-94-7	CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1	Training	1
259	15647-08-2	CCCCC(CC)COP(OC1=CC=CC=C1)OC1=CC=CC=C1	Training	0
260	63843-89-0	CCCCC(CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1	Training	0
261	6920-22-5	CCCCC(O)CO	Training	1
262	83857-96-9	CCCCC1=NC(C=O)=C(Cl)N1	Training	0
263	592-41-6	CCCCC=C	Training	0
264	106-70-7	CCCCCC(=O)OC	Training	0
265	123-68-2	CCCCCC(=O)OCC=C	Test	0
266	110-43-0	CCCCCC(C)=O	Training	1
267	99607-70-2	CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12	Test	0
268	53306-54-0	CCCCCC(CCC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CCC)CCCCC	Training	0
269	149021-58-9	CCCCCC(CCC)COC(=O)C=C	Training	0
270	24851-98-7	CCCCCC1C(CC(=O)OC)CCC1=O	Training	0
271	104-61-0	CCCCCC1CCC(=O)O1	Training	0
272	78-16-0	CCCCCCC(=O)OCC(CC)(COC(=O)CCCCCC)COC(=O)CCCCCC	Training	0
273	620-67-7	CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC	Training	0
274	3913-02-8	CCCCCCC(CO)CCCC	Training	1
275	27215-95-8	CCCCCCC=CC	Test	0
276	124-12-9	CCCCCCCC#N	Training	0
277	124-07-2	CCCCCCCC(O)=O	Training	1
278	104-67-6	CCCCCCCC1CCC(=O)O1	Training	0
279	2404-44-6	CCCCCCCCC1CO1	Training	0
280	14433-76-2	CCCCCCCCCC(=O)N(C)C	Training	1
281	110-41-8	CCCCCCCCCC(C)C=O	Training	0
282	112-29-8	CCCCCCCCCCBr	Training	1
283	93803-87-3	CCCCCCCCCCC(CCCCCCCC)COC(=O)CCCCCCCCCCCCCCC(C)C	Test	0
284	112-41-4	CCCCCCCCCCC=C	Test	0
285	111-82-0	CCCCCCCCCCCC(=O)OC	Test	0
286	2146-71-6	CCCCCCCCCCCC(=O)OC=C	Test	0
287	102985-93-3	CCCCCCCCCCCC(=O)OCC(C)(C)C=O	Training	0
288	142-18-7	CCCCCCCCCCCC(=O)OCC(O)CO	Training	0
289	9005-64-5	CCCCCCCCCCCC(=O)OCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCO	Training	0
290	77-58-7	CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC	Test	1
291	26952-13-6	CCCCCCCCCCCC=CC	Training	0
292	58670-89-6	CCCCCCCCCCCCC(CO)CCCCCCCCCC	Test	1
293	1120-36-1	CCCCCCCCCCCCC=C	Training	0
