id	cas	smiles	status	exp
198		O=C(OCC=CCOC(=O)CBr)CBr	Test	1.5922
199		NCCCN(CCCN)CCCCCCCCCCCC	Test	1.9542
200		O=C(O)C(Cl)(Cl)Cl	Test	2.5502
201		O=C(O)C(CC)CCCC	Training	1.7853
202		O2CN1COCC1(C2)CC	Test	2.3979
203		O(c1cc(ccc1(N))c2ccc(N)c(OC)c2)C	Test	2.0792
204		Nc1c(cccc1C)C	Training	2.4914
205		O=C(OC)c1c(c(c(C(=O)OC)c(c1Cl)Cl)Cl)Cl	Training	3.3979
206		O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	2.0871
207		O(c1ccc(N)cc1)c2ccc(N)cc2	Test	2.2253
208		O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	0.0969
209		OCCNCCO	Training	2.3838
210		Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	0.4997
211		Oc1ccccc1C	Test	2.7076
212		Oc1ccc(cc1C)C	Test	2.7324
213		OCCOCC	Test	2.6021
214		OCCOCCOCC	Test	3.3979
215		OCCOCCOCCCC	Test	3
216		O=C(O)c1cc(O)c(O)c(O)c1	Training	3.3979
217		O=P(OCCCC)(OCCCC)OCCCC	Training	2.3979
218		CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Test	1.7832
219		O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	2.301
220		n1c(nc(nc1NCl)NCl)NCl	Test	1.4771
221		OCCN1CN(CN(C1)CCO)CCO	Training	2.3979
222		Oc1cc(c(c(c1)C)Cl)C	Training	3.0969
223		O=C2C1=C(CCC1)SN2C	Test	1.9191
224		OCC(c1ccccc1)C	Test	2.2041
225		OC(c2ccnc1ccc(OC)cc12)C4N3CCC(C=C)(CC3)C4	Training	2.301
226		O=C(OCCCCCCCC)C	Test	3
227		N#CC(Br)Br	Test	1.6532
228		N#CC(Cl)Cl	Test	1.8129
229		Fc2ccc(Oc1ccc(c(c1)Cl)Cl)c(c2)CNC	Training	2.1761
230		O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	1.7782
231		N1C(NCC1)=S	Test	2.1761
232		O=C(C)CCc1ccc(O)cc1	Test	2.1072
233		O=C(OC(c1ccccc1)C)C	Test	1.699
234		OC(Cc1ccccc1)CC(C)C	Training	1.6021
235		O(Cc1ccccc1)Cc2ccccc2	Test	2.2923
236		O=C(OCC(C)(C)C(OC(=O)C(C)C)C(C)C)C(C)C	Training	2
237		O=C(OC(C(=O)OCCCC)(CC(=O)OCCCC)CC(=O)OCCCC)C	Test	2
238		NCCN	Training	2
239		O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	Test	2.2553
240		O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1	Test	1.699
241		Oc1cccnc1(N)	Training	1.4771
242		n1c(nc(nc1NC(C)C)SC)NCC	Test	1
243		O=C2Oc1ccccc1CC2	Test	1.8751
244		Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br	Test	0.3997
245		Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	Test	0.248
246		C(Br)(Br)Br	Test	1.3979
247		c1cc(ccc1Br)Br	Training	1
248		OCP(CO)(CO)CO	Test	0.574
249		C(=CCl)Cl	Test	1.2304
250		c2cc1cccc3c1c(c2)CC3	Test	2.243
251		O=C(OC)N	Test	2
252		O(CCN(C)C)C(c1ccccc1)c2ccccc2	Test	1.2041
