ID	CAS	SMILES	STATUS	EXP_VALUE
273	N.A.	c1ccc(CN2CCNCC2)cc1	TRAINING	0
274	N.A.	c1ccc(C[n+]2cccc3ccccc32)cc1	TRAINING	1
275	N.A.	COc1ccc(Br)c(C)c1	TRAINING	0
276	N.A.	CCCCCCCCCCBr	TRAINING	0
277	N.A.	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br	TRAINING	0
278	N.A.	CCCCO	TRAINING	0
279	N.A.	CCCCOC(=O)C(C)OC(=O)CCC	TRAINING	0
280	N.A.	CCCCOCC(C)O	TRAINING	0
281	N.A.	CCCC[N+]1(C)CCCCC1	TRAINING	0
282	N.A.	CCCC[N+]1(C)CCCC1	TRAINING	0
283	N.A.	CCCC[n+]1ccccc1C	TRAINING	0
284	N.A.	CCCC[n+]1ccn(C)c1	TRAINING	0
285	N.A.	CCCC[n+]1cccc(C)c1	TRAINING	0
286	N.A.	CCCC[n+]1ccc(C)cc1	TRAINING	0
287	N.A.	CCCC[n+]1ccccc1	TRAINING	0
288	N.A.	CCC(Cl)[N+](=O)[O-]	TRAINING	0
289	N.A.	O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1	TRAINING	1
290	N.A.	CCN(CC)CCCl	TRAINING	0
291	N.A.	O=[N+]([O-])c1ccccc1Cl	TRAINING	0
292	N.A.	O=[N+]([O-])c1ccc(Cl)cc1	TRAINING	0
293	N.A.	CC(C)(C)C(=O)CCl	TRAINING	0
294	N.A.	Cc1ccc(C#N)cc1	TRAINING	0
295	N.A.	CC(O)C1CCCCC1	TRAINING	0
296	N.A.	O=C1CCCN1C1CCCCC1	TRAINING	0
297	N.A.	CCCCCCCCCCO	TRAINING	0
298	N.A.	CCCCCCCCCCCCO	TRAINING	1
299	N.A.	CCCCCCCCCCCCN1CCCC1=O	TRAINING	1
300	N.A.	CCCCCCCCCCCCn1cc[n+](C)c1	TRAINING	1
301	N.A.	CC[N+]1(C)CCCC1	TRAINING	0
302	N.A.	CCn1cc[n+](C)c1C	TRAINING	0
303	N.A.	CCN1CCCC1=O	TRAINING	0
304	N.A.	CCn1cc[n+](C)c1	TRAINING	0
305	N.A.	CC[n+]1ccccc1	TRAINING	0
306	N.A.	C#CC1(O)CCCCC1	TRAINING	0
307	N.A.	O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1	TRAINING	1
