Id	CAS 	SMILES	SET	 ave log1/LC50(mmol/L) 
371	016752-77-5	CNC(=O)ON=C(C)SC	Test	1.886
372	023135-22-0	CNC(=O)ON=C(SC)C(=O)N(C)C	Training	1.422
373	000556-61-6	N(=C=S)C	Training	2.785
374	014802-03-0	O=P(OCC(CC)CCCC)(CC(CC)CCCC)O	Test	0.495
375	000126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Training	1.349
376	000078-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	1.416
377	000126-72-7	O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr	Training	2.565
378	000298-04-4	CCOP(=S)(OCC)SCCSCC	Training	1.839
379	000298-06-6	O(P(OCC)(S)=S)CC	Training	0.451
380	000121-75-5	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	Test	1.370
381	013071-79-9	CCOP(=S)(OCC)SCSC(C)(C)C	Test	4.336
382	008065-48-3	CCOP(=S)(OCC)OCCSCC	Test	1.208
383	000577-11-7	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	Test	0.793
384	004016-24-4	S(=O)(=O)(O)C(CCCCCCCCCCCCCC)C(=O)OC	Test	2.369
385	000071-43-2	c(cccc1)c1	Training	0.408
386	000108-88-3	c(cccc1)(c1)C	Training	0.595
387	000100-41-4	c(cccc1)(c1)CC	Training	1.172
388	000106-42-3	c(ccc(c1)C)(c1)C	Test	1.037
389	000108-38-3	c(cccc1C)(c1)C	Training	0.767
390	000095-47-6	c(c(ccc1)C)(c1)C	Test	1.105
391	000095-63-6	c(ccc(c1C)C)(c1)C	Training	1.191
392	000098-82-8	c(cccc1)(c1)C(C)C	Test	1.279
393	000141-93-5	c(cccc1CC)(c1)CC	Training	1.510
394	000104-51-8	c(cccc1)(c1)CCCC	Training	1.609
395	000099-87-6	c(ccc(c1)C)(c1)C(C)C	Test	1.827
396	000538-68-1	c(cccc1)(c1)CCCCC	Test	1.939
397	000098-51-1	c(ccc(c1)C)(c1)C(C)(C)C	Training	1.941
398	025321-09-9	c(ccc1C(C)C)cc1C(C)C	Test	2.310
399	000827-52-1	c(cccc1)(c1)C(CCCC2)C2	Training	2.126
400	000119-64-2	c(c(ccc1)CCC2)(c1)C2 	Test	1.343
401	030030-25-2	C=Cc1ccc(cc1)CCl	Training	2.692
402	000098-83-9	c(C(=C)C)(cccc1)c1	Training	1.209
403	001321-74-0	C=Cc1ccccc1C=C	Training	1.491
404	001746-23-2	c(ccc(c1)C=C)(c1)C(C)(C)C	Training	2.515
405	000098-81-7	BrC(c1ccccc1)=C	Training	3.086
406	000127-66-2	OC(C#C)(c(cccc1)c1)C	Test	0.111
407	000098-87-3	c(cccc1)(c1)C(Cl)Cl	Test	0.845
408	000623-25-6	c(ccc(c1)CCl)(c1)CCl	Training	3.651
409	000095-52-3	Fc(c(ccc1)C)c1	Training	0.753
410	000098-08-8	FC(F)(F)c(cccc1)c1	Training	0.886
